"TC编号","优先级","情况与关键步骤","预期结果","历史状态","当前候选状态","工程覆盖度","执行版本","执行方式","责任人","证据级别","测试文件/引用","证据提交SHA","运行ID","镜像摘要","证据/待办"
"GST-039","P1","同一客人再次到店","在授权范围内识别历史偏好、过敏、常点商品、服务频次和情绪趋势；员工只见服务所需摘要","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","李艳、Tom、Jerry、Tyke","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","reservation、table-access、table-operations、table-transfer、waitlist及proactive-service自动化回归"
"GST-040","P2","客人拒绝会员、通知或画像个性化","仍可匿名点单支付；遵守同意状态，不发营销通知；经营必需的订单/支付审计仍依法保存","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","李艳、Tom、Jerry、Tyke","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","reservation、table-access、table-operations、table-transfer、waitlist及proactive-service自动化回归"
"SVC-001","P1","客人点击加水","客户立即看到有人情味的已收到反馈；主责接单、到桌、完成后提示自动消失","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","李艳、Tom、Jerry、Tyke","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","服务任务、限流、SLA升级、通知失败保留与接单到完成闭环自动化回归"
"SVC-002","P1","客人点击柠檬、纸巾、餐具等可配置服务","按配置创建正确任务和SLA，不需要发版；任务显示桌号、内容和主/候补人员","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","李艳、Tom、Jerry、Tyke","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","服务任务、限流、SLA升级、通知失败保留与接单到完成闭环自动化回归"
"SVC-003","P1","客人点击呼叫服务员","立即分配主责；主责繁忙/离线则候补接管；客户可见已受理而非虚假已完成","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","李艳、Tom、Jerry、Tyke","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","服务任务、限流、SLA升级、通知失败保留与接单到完成闭环自动化回归"
"SVC-004","P1","客人提交个性化说明","单独提交按钮生效；说明形成独立任务，不依赖购物车下单；员工端完整可见","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","李艳、Tom、Jerry、Tyke","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","服务任务、限流、SLA升级、通知失败保留与接单到完成闭环自动化回归"
"SVC-005","P1","每分钟第1至5次服务请求","允许不同合理需求，分别反馈并可合并派发；不因前一条存在而吞掉后续不同需求","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","李艳、Tom、Jerry、Tyke","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","服务任务、限流、SLA升级、通知失败保留与接单到完成闭环自动化回归"
"SVC-006","P1","每分钟第6次及以上连续点击","友好提示“已经记下，正在安排”；限制重复提交但保留安全/投诉入口，记录限流事件","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","李艳、Tom、Jerry、Tyke","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","服务任务、限流、SLA升级、通知失败保留与接单到完成闭环自动化回归"
"SVC-007","P1","客人重复点击同一需求","按窗口合并/关联，不生成多个员工重复到桌；客户能看见当前处理状态","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","李艳、Tom、Jerry、Tyke","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","服务任务、限流、SLA升级、通知失败保留与接单到完成闭环自动化回归"
"SVC-008","P1","主责30秒未接、60秒超时、120秒仍未处理","按规则依次通知候补、李艳、护古；每次升级有时间、接收人和原因","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","李艳、Tom、Jerry、Tyke","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","服务任务、限流、SLA升级、通知失败保留与接单到完成闭环自动化回归"
"SVC-009","P1","员工点击已接单但未到桌","客户只看到正在安排；系统继续计算到桌SLA，不把接单当完成","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","李艳、Tom、Jerry、Tyke","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","服务任务、限流、SLA升级、通知失败保留与接单到完成闭环自动化回归"
"SVC-010","P1","员工点击已到桌但客人问题未解决","保持处理中；必须记录实际解决结果后才能完成，不能用“完成”隐藏未解决任务","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","李艳、Tom、Jerry、Tyke","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","服务任务、限流、SLA升级、通知失败保留与接单到完成闭环自动化回归"
"SVC-011","P1","员工完成后客人再次表示未解决","客人重新呼叫或投诉时关联原任务，保留第一次处理责任和耗时，不覆盖旧记录","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","李艳、Tom、Jerry、Tyke","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","服务任务、限流、SLA升级、通知失败保留与接单到完成闭环自动化回归"
"SVC-012","P1","客人提交服务慢投诉","直接升级副店长/店长；普通服务员不能独立关闭；补救、完成权限、处理结果和时间留痕","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","李艳、Tom、Jerry、Tyke","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","服务任务、限流、SLA升级、通知失败保留与接单到完成闭环自动化回归"
"SVC-013","P1","客人投诉错品、价格、态度或噪音","按投诉类型路由责任岗位；需要账务补救时关联原订单/支付，不能只写备注","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","李艳、Tom、Jerry、Tyke","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","服务任务、限流、SLA升级、通知失败保留与接单到完成闭环自动化回归"
"SVC-014","P1","客人投诉系统或支付问题","三沐、李艳和乌鸦协同；支付未知时冻结再次付款，向客人给出真实进度","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","李艳、Tom、Jerry、Tyke","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","服务任务、限流、SLA升级、通知失败保留与接单到完成闭环自动化回归"
"SVC-015","P2","平板通知失败、耳机未响","手机/管理PC备用通知生效；任务仍在队列且进入通知失败监控，不静默丢失","通过","未执行","直接自动化证据","1.0.0-rc.94","自动化回归/待绑定CI","李艳、Tom、Jerry、Tyke","直接测试映射","notification-runtime/dispatch测试","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","notification-runtime/dispatch测试：通知失败不删除核心任务，指数退避、失败监控和人工重试均留审计"
"SVC-016","P2","客户选择开心、心动、微醺、互动、庆祝、安静","选择项变亮、其他变灰，可重新选择；不弹系统式提示；记录客户状态用于服务建议","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","李艳、Tom、Jerry、Tyke","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","服务任务、限流、SLA升级、通知失败保留与接单到完成闭环自动化回归"
"SVC-017","P1","客人由开心改为安静","最新状态立即更新给主责，停止不合适互动建议；保留变化时间供服务质量分析","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","李艳、Tom、Jerry、Tyke","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","服务任务、限流、SLA升级、通知失败保留与接单到完成闭环自动化回归"
"SVC-018","P1","AI 15分钟、30分钟提醒","仅创建具体建议，不自动声称服务完成；员工可执行、延后或说明不适用，均留痕","通过","未执行","直接自动化证据","1.0.0-rc.94","自动化回归/待绑定CI","李艳、Tom、Jerry、Tyke","直接测试映射","sop-engine.test.ts","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","sop-engine.test.ts：事件触发、多步骤计时、前一步完成依赖、停止条件、品类筛选、岗位派单、转桌跟随及幂等回归"
"SVC-019","P1","摄像头/AI建议与现场事实冲突","员工以现场核实为准并反馈误判；不得自动扣库存、收费、识别人脸或公开客户身份","未执行","未执行","代码支持/待现场验证","1.0.0-rc.94","门店现场执行","李艳、Tom、Jerry、Tyke","待执行","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"SVC-020","P1","客诉当场解决后客户离店","任务关闭、客户端提示消失、补偿与责任完整；后续分析保留脱敏结果，不向下一桌展示","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","李艳、Tom、Jerry、Tyke","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","服务任务、限流、SLA升级、通知失败保留与接单到完成闭环自动化回归"
"ORD-001","P1","客户扫码全屏菜单浏览、加购物车","商品图片、名称、售价、售罄和可选项清楚；购物车数量与左下金额合并显示","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","冷言志、申良良、Tom、Jerry、Tyke","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","订单、KDS、错品/缺货/重做、送达及库存消耗集成回归"
"ORD-002","P1","服务员平板协助点单","与客户菜单同风格；服务员选择桌号、核对明细后下单；操作者和客户来源可区分","通过","未执行","直接自动化证据","1.0.0-rc.94","自动化回归/待绑定CI","冷言志、申良良、Tom、Jerry、Tyke","直接测试映射","normalized browser及commerce-kds-api测试","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","normalized browser及commerce-kds-api测试：已开台桌次锁定、商品搜索、员工协助下单、库存消耗和KDS创建完整回归"
"ORD-003","P0","服务员选择错误桌号","确认页突出桌号；提交前可改；提交后必须走结构化转桌/撤单，不能改审计","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","冷言志、申良良、Tom、Jerry、Tyke","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","订单、KDS、错品/缺货/重做、送达及库存消耗集成回归"
"ORD-004","P1","同一商品多规格、加料、备注和数量","价格实时重算，订单保存完整选项快照，KDS看到制作所需信息","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","冷言志、申良良、Tom、Jerry、Tyke","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","订单、KDS、错品/缺货/重做、送达及库存消耗集成回归"
"ORD-005","P1","过敏、忌口或无酒精要求","客户/员工可录入；高风险项明确确认并传到对应档口，不只留在前台备注","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","冷言志、申良良、Tom、Jerry、Tyke","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","订单、KDS、错品/缺货/重做、送达及库存消耗集成回归"
"ORD-006","P1","商品售罄后客户仍停留在旧菜单","服务端拒绝提交并刷新状态；不扣款、不生成制作任务，提供可配置替代品","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","冷言志、申良良、Tom、Jerry、Tyke","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","订单、KDS、错品/缺货/重做、送达及库存消耗集成回归"
"ORD-007","P1","下单瞬间管理员改价","已提交订单保留原价格快照；未提交购物车刷新后提示价格变化并重新确认","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","冷言志、申良良、Tom、Jerry、Tyke","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","订单、KDS、错品/缺货/重做、送达及库存消耗集成回归"
"ORD-008","P0","客户或员工重复点击确认下单","只生成一个订单；相同幂等键返回同一orderId，不重复扣库存或发KDS","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","冷言志、申良良、Tom、Jerry、Tyke","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","订单、KDS、错品/缺货/重做、送达及库存消耗集成回归"
"ORD-009","P1","已下单后追加商品","生成关联追加单/订单批次；桌账合并展示，原订单不被覆盖","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","冷言志、申良良、Tom、Jerry、Tyke","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","订单、KDS、错品/缺货/重做、送达及库存消耗集成回归"
"ORD-010","P1","未开始制作前取消商品","按规则取消并释放预占库存；如已付款则进入退款流程，不直接修改支付成功金额","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","冷言志、申良良、Tom、Jerry、Tyke","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","订单、KDS、错品/缺货/重做、送达及库存消耗集成回归"
"ORD-011","P1","已开始制作后要求取消","进入经理确认，明确是否仍收费、作废或补偿；KDS、库存和桌账结果一致","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","冷言志、申良良、Tom、Jerry、Tyke","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","订单、KDS、错品/缺货/重做、送达及库存消耗集成回归"
"ORD-012","P1","酒水、冷菜、热厨同单","自动拆到正确档口；前台仍显示一个订单和各品项状态","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","冷言志、申良良、Tom、Jerry、Tyke","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","订单、KDS、错品/缺货/重做、送达及库存消耗集成回归"
"ORD-013","P1","冷言志收到吧台酒水","只能看到吧台所需信息；点击开始、完成；完成后自动呼叫服务员/取送人员","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","冷言志、申良良、Tom、Jerry、Tyke","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","订单、KDS、错品/缺货/重做、送达及库存消耗集成回归"
"ORD-014","P1","申良良收到冷菜与热厨任务","按档口和SLA排序；缺料可报缺货/暂停，不能伪造已制作","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","冷言志、申良良、Tom、Jerry、Tyke","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","订单、KDS、错品/缺货/重做、送达及库存消耗集成回归"
"ORD-015","P1","商品5分钟未出或超过配置SLA","AI/系统提醒档口和经理；阈值可后台配置，记录当时规则版本","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","冷言志、申良良、Tom、Jerry、Tyke","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","订单、KDS、错品/缺货/重做、送达及库存消耗集成回归"
"ORD-016","P1","制作完成后Tyke忙碌","先通知主责/候补/可取送员工，李艳可补位；不能将“已制作”自动标“已送达”","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","冷言志、申良良、Tom、Jerry、Tyke","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","订单、KDS、错品/缺货/重做、送达及库存消耗集成回归"
"ORD-017","P1","取错品、送错桌或少送","通过桌号/品项核对拦截；发生后关联原订单补做或退款，不删除错误记录","通过","未执行","直接自动化证据","1.0.0-rc.94","自动化回归/待绑定CI","冷言志、申良良、Tom、Jerry、Tyke","直接测试映射","order-domain及kds-exception-api测试","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","order-domain及kds-exception-api测试：错品关联原KDS生成唯一补做任务，原记录不删除"
"ORD-018","P1","客人退回质量不合格饮品/菜品","经理确认重做、改品或退款；新KDS任务关联原品项，库存和成本记录一次","通过","未执行","直接自动化证据","1.0.0-rc.94","自动化回归/待绑定CI","冷言志、申良良、Tom、Jerry、Tyke","直接测试映射","order-domain及inventory-order-integration测试","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","order-domain及inventory-order-integration测试：质量退回后重做关联原品项并单独记录库存耗用"
"ORD-019","P1","两人同时点击取走/送达","只有一个状态转换成功；另一人看到最新状态，不能重复扣履约或权益","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","冷言志、申良良、Tom、Jerry、Tyke","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","订单、KDS、错品/缺货/重做、送达及库存消耗集成回归"
"ORD-020","P1","换桌期间有商品正在制作","KDS收到最新送达桌号并保留原桌；取送端必须核对当前桌次，旧桌不接收","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","冷言志、申良良、Tom、Jerry、Tyke","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","订单、KDS、错品/缺货/重做、送达及库存消耗集成回归"
"PAY-001","P0","客户自助扫码下单后微信支付","订单、金额、桌次一致；只由验签回调/服务端查单置成功；员工端实时收到成功信号","阻塞","阻塞","外部依赖","1.0.0-rc.94","外部生产联调","三沐、李艳、护古、陈方宇","待执行","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","需星驿/微信生产商户参数、KYC、真实小额支付/退款及渠道流水号"
"PAY-002","P0","服务员协助点单后展示支付二维码","二维码绑定唯一订单和金额；客人扫码后客户/服务员/收银同步状态","阻塞","阻塞","外部依赖","1.0.0-rc.94","外部生产联调","三沐、李艳、护古、陈方宇","待执行","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","需星驿/微信生产商户参数、KYC、真实小额支付/退款及渠道流水号"
"PAY-003","P0","服务员选择扫客户付款码","显示金额二次确认；付款码不落日志；渠道结果未知时不重复扫","阻塞","阻塞","外部依赖","1.0.0-rc.94","外部生产联调","三沐、李艳、护古、陈方宇","待执行","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","需星驿/微信生产商户参数、KYC、真实小额支付/退款及渠道流水号"
"PAY-004","P1","客人手机同步服务员建立的订单后点击支付","同一订单只产生受控支付意图；服务员二维码与手机支付不能造成重复支付","阻塞","阻塞","外部依赖","1.0.0-rc.94","外部生产联调","三沐、李艳、护古、陈方宇","待执行","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","需星驿/微信生产商户参数、KYC、真实小额支付/退款及渠道流水号"
"PAY-005","P1","物理POS无法对接，收款后手工报送","记录终端、批次、凭证号、金额和操作者；状态为待对账，不伪装API成功","未执行","未执行","代码支持/待现场验证","1.0.0-rc.94","门店现场执行","三沐、李艳、护古、陈方宇","待执行","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"PAY-006","P1","现金支付","双人点验或经理复核，记录金额、找零和收银人；日结现金实盘一致","未执行","未执行","代码支持/待现场验证","1.0.0-rc.94","门店现场执行","三沐、李艳、护古、陈方宇","待执行","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"PAY-007","P0","一桌多人拆分支付","每笔分摊到商品/金额，合计不超过应收；失败分摊可重试但不影响已成功部分","阻塞","阻塞","外部依赖","1.0.0-rc.94","外部生产联调","三沐、李艳、护古、陈方宇","待执行","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","需星驿/微信生产商户参数、KYC、真实小额支付/退款及渠道流水号"
"PAY-008","P0","微信+POS+现金混合支付","各渠道独立证据，桌账剩余实时准确；所有渠道合计为应收且无重复","阻塞","阻塞","外部依赖","1.0.0-rc.94","外部生产联调","三沐、李艳、护古、陈方宇","待执行","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","需星驿/微信生产商户参数、KYC、真实小额支付/退款及渠道流水号"
"PAY-009","P0","客户端超时、渠道结果未知","冻结再次支付，使用原单查单；员工不得口头改成功；最终结果和请求ID可追溯","阻塞","阻塞","外部依赖","1.0.0-rc.94","外部生产联调","三沐、李艳、护古、陈方宇","待执行","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","需星驿/微信生产商户参数、KYC、真实小额支付/退款及渠道流水号"
"PAY-010","P0","同一支付成功回调两次或乱序回调","只入账一次；成功后的失败/处理中回调不能回滚终态；保存验签与幂等记录","阻塞","阻塞","外部依赖","1.0.0-rc.94","外部生产联调","三沐、李艳、护古、陈方宇","待执行","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","需星驿/微信生产商户参数、KYC、真实小额支付/退款及渠道流水号"
"PAY-011","P0","回调金额、币种、商户、订单号不匹配","拒绝应用到桌账并告警；不能显示支付成功；原始摘要进入安全审计","阻塞","阻塞","外部依赖","1.0.0-rc.94","外部生产联调","三沐、李艳、护古、陈方宇","待执行","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","需星驿/微信生产商户参数、KYC、真实小额支付/退款及渠道流水号"
"PAY-012","P1","客人少付、超付或付款到错误订单","系统阻止或建立明确差异，不自动挪款；由三沐和李艳核对渠道后处理","阻塞","阻塞","外部依赖","1.0.0-rc.94","外部生产联调","三沐、李艳、护古、陈方宇","待执行","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","需星驿/微信生产商户参数、KYC、真实小额支付/退款及渠道流水号"
"PAY-013","P0","服务员赠送权限内啤酒/鸡尾酒","验证模板、SKU、单次/每日额度和有效期；订单显示赠送价值、成本和批准人","通过","未执行","直接自动化证据","1.0.0-rc.94","自动化回归/待绑定CI","三沐、李艳、护古、陈方宇","直接测试映射","commerce-kds-api及PostgresPricingAuthority测试","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","commerce-kds-api及PostgresPricingAuthority测试：赠送原因必填、客户端不可伪造授权源、岗位单笔额度、重复员工授权与会员权益隔离回归"
"PAY-014","P0","服务员申请超额度赠送或折扣","进入上级审批，未批准不生效；不同岗位额度由后台配置且保留版本","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","三沐、李艳、护古、陈方宇","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","支付领域、退款、双人审批、幂等、拆单和服务商适配器工程回归"
"PAY-015","P0","运营负责人超5000元或重大争议授权","系统升级陈方宇，不能拆成多笔绕限额；审计能识别同桌/同理由累计值","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","三沐、李艳、护古、陈方宇","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","支付领域、退款、双人审批、幂等、拆单和服务商适配器工程回归"
"PAY-016","P0","商品级部分退款","关联原orderItem和payment；申请、审批不同人；金额不超过可退余额；渠道与桌账同步一次","阻塞","阻塞","外部依赖","1.0.0-rc.94","外部生产联调","三沐、李艳、护古、陈方宇","待执行","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","需星驿/微信生产商户参数、KYC、真实小额支付/退款及渠道流水号"
"PAY-017","P0","全单退款、重复退款和退款失败重试","原支付可追溯；失败不显示已退；重试关联同一refundId；重复回调不二次退款","阻塞","阻塞","外部依赖","1.0.0-rc.94","外部生产联调","三沐、李艳、护古、陈方宇","待执行","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","需星驿/微信生产商户参数、KYC、真实小额支付/退款及渠道流水号"
"PAY-018","P0","POS支付部分退款","生成退款待办和物理凭证；系统不能虚构POS退款成功，日对账前保持待核验","阻塞","阻塞","外部依赖","1.0.0-rc.94","外部生产联调","三沐、李艳、护古、陈方宇","待执行","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","需星驿/微信生产商户参数、KYC、真实小额支付/退款及渠道流水号"
"PAY-019","P1","客人已买单但商品取消/投诉补偿","新退款/权益关联原订单，不能直接改已成功支付；客户可见真实处理状态","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","三沐、李艳、护古、陈方宇","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","支付领域、退款、双人审批、幂等、拆单和服务商适配器工程回归"
"PAY-020","P0","闭桌与日结","只有余额0且无支付未知/退款无主时可闭桌；系统、渠道、POS、现金差异逐笔有责任人和期限","阻塞","阻塞","外部依赖","1.0.0-rc.94","外部生产联调","三沐、李艳、护古、陈方宇","待执行","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","需星驿/微信生产商户参数、KYC、真实小额支付/退款及渠道流水号"
"MBR-001","P1","未注册客人首次扫固定桌码","建立匿名客户ID，记录合法的服务、情绪、菜单和消费行为，不强迫注册","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","乌鸦、护古、李艳","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","权益发放、额度审批、匿名身份、同意状态、通知跳过和Outbox重试回归"
"MBR-002","P0","同桌两位匿名客操作","两个客户ID可区分，桌账共享但个人情绪、服务偏好和会员权益不能串人","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","乌鸦、护古、李艳","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","权益发放、额度审批、匿名身份、同意状态、通知跳过和Outbox重试回归"
"MBR-003","P1","匿名客户后来授权微信/手机号","在可验证身份下合并，不重复会员；保留原匿名历史和合并审计","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","乌鸦、护古、李艳","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","权益发放、额度审批、匿名身份、同意状态、通知跳过和Outbox重试回归"
"MBR-004","P0","错误合并两个客户后申请拆分","仅授权管理员按证据修复；原始ID、合并和拆分关系不可删除，避免权益/消费串联","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","乌鸦、护古、李艳","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","权益发放、额度审批、匿名身份、同意状态、通知跳过和Outbox重试回归"
"MBR-005","P1","记录常点商品、服务频次、情绪和投诉偏好","形成可解释摘要；员工只看到当次服务有帮助的信息，不展示敏感画像或贬义标签","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","乌鸦、护古、李艳","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","权益发放、额度审批、匿名身份、同意状态、通知跳过和Outbox重试回归"
"MBR-006","P1","服务员发放权限内小权益","直接/审批后到账规则按配置执行；客户会员页和公众号/服务号通知状态联动","通过","未执行","直接自动化证据","1.0.0-rc.94","自动化回归/待绑定CI","乌鸦、护古、李艳","直接测试映射","benefit-domain/redemption测试","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","benefit-domain/redemption测试：权限内发放、越权审批、客户权益可见及通知状态同步"
"MBR-007","P0","同一权益重复发放、锁定或核销","每一步幂等；只核销一次；取消订单后释放锁定但保留历史","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","乌鸦、护古、李艳","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","权益发放、额度审批、匿名身份、同意状态、通知跳过和Outbox重试回归"
