"编号","源文件","行","组件/函数","控件","显示文字或动态表达式","点击/输入事件","表单提交","外部表单","禁用条件","显示条件","静态处理路径","所属文件问题（不代表此控件已复现）","证据边界"
"CTRL-0452","src/normalized-ui/CheckoutUpgradeManagementPanel.tsx","193","CheckoutUpgradeManagementPanel","NumberInputWithUnit","升级后最低贡献额","{""onChange"":""event=>setQualification({...qualification,minimumContributionMinor:event.target.value})""}","(event)=>void saveRule(event)","","","expanded && canDraftRule","所属表单：(event)=>void saveRule(event)","SYS-295、SYS-298","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0453","src/normalized-ui/CheckoutUpgradeManagementPanel.tsx","194","CheckoutUpgradeManagementPanel","NumberInputWithUnit","最低新增贡献额","{""onChange"":""event=>setQualification({...qualification,minimumIncrementalContributionMinor:event.target.value})""}","(event)=>void saveRule(event)","","","expanded && canDraftRule","所属表单：(event)=>void saveRule(event)","SYS-295、SYS-298","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0454","src/normalized-ui/CheckoutUpgradeManagementPanel.tsx","195","CheckoutUpgradeManagementPanel","textarea","适配依据","{""onChange"":""event=>setQualification({...qualification,positiveFitReason:event.target.value})""}","(event)=>void saveRule(event)","","","expanded && canDraftRule","所属表单：(event)=>void saveRule(event)","SYS-295、SYS-298","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0455","src/normalized-ui/CheckoutUpgradeManagementPanel.tsx","196","CheckoutUpgradeManagementPanel","select","份量上限商品","{""onChange"":""event=>setLimitProduct(event.target.value)""}","(event)=>void saveRule(event)","","","expanded && canDraftRule","所属表单：(event)=>void saveRule(event)","SYS-295、SYS-298","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0456","src/normalized-ui/CheckoutUpgradeManagementPanel.tsx","197","CheckoutUpgradeManagementPanel","NumberInputWithUnit","该商品每人最多","{""onChange"":""event=>setLimitQuantity(event.target.value)""}","(event)=>void saveRule(event)","","","expanded && canDraftRule","所属表单：(event)=>void saveRule(event)","SYS-295、SYS-298","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0457","src/normalized-ui/CheckoutUpgradeManagementPanel.tsx","198","CheckoutUpgradeManagementPanel","button","保存此份量上限","{""onClick"":""()=>setPortionLimits(previous=>[...previous.filter(item=>item.productId!==limitProduct),{productId:limitProduct,quantity:Number(limitQuantity)}])""}","(event)=>void saveRule(event)","","!limitProduct||!limitQuantity.trim()||!Number.isInteger(Number(limitQuantity))||Number(limitQuantity)<1||Number(limitQuantity)>100","expanded && canDraftRule","所属表单：(event)=>void saveRule(event)","SYS-295、SYS-298","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0458","src/normalized-ui/CheckoutUpgradeManagementPanel.tsx","199","CheckoutUpgradeManagementPanel","button","移除","{""onClick"":""()=>setPortionLimits(previous=>previous.filter(value=>value.productId!==item.productId))""}","(event)=>void saveRule(event)","","","","所属表单：(event)=>void saveRule(event)","SYS-295、SYS-298","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0459","src/normalized-ui/CheckoutUpgradeManagementPanel.tsx","200","CheckoutUpgradeManagementPanel","select","排除商品","{""onChange"":""event=>{if(event.target.value)setExcludedProducts(previous=>[...new Set([...previous,event.target.value])])}""}","(event)=>void saveRule(event)","","","expanded && canDraftRule","所属表单：(event)=>void saveRule(event)","SYS-295、SYS-298","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0460","src/normalized-ui/CheckoutUpgradeManagementPanel.tsx","201","CheckoutUpgradeManagementPanel","button","移除排除商品","{""onClick"":""()=>setExcludedProducts(previous=>previous.filter(value=>value!==id))""}","(event)=>void saveRule(event)","","","","所属表单：(event)=>void saveRule(event)","SYS-295、SYS-298","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0461","src/normalized-ui/CheckoutUpgradeManagementPanel.tsx","203","CheckoutUpgradeManagementPanel","button","保存草稿","{}","(event)=>void saveRule(event)","","busy==='rule-draft'","expanded && canDraftRule","所属表单：(event)=>void saveRule(event)","SYS-295、SYS-298","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0462","src/normalized-ui/CheckoutUpgradeManagementPanel.tsx","208","CheckoutUpgradeManagementPanel","summary","核对高度匹配条件","{}","","","","item.qualification","浏览器原生展开/收起","SYS-295、SYS-298","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0463","src/normalized-ui/CheckoutUpgradeManagementPanel.tsx","216","CheckoutUpgradeManagementPanel","button","审批","{""onClick"":""()=>void ruleAction(item,'approve')""}","","","","item.status==='draft'&&canApproveRule&&item.draftedByEmployeeId!==auth.employee.id","已定义交互事件","SYS-295、SYS-298","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0464","src/normalized-ui/CheckoutUpgradeManagementPanel.tsx","216","CheckoutUpgradeManagementPanel","button","发布","{""onClick"":""()=>void ruleAction(item,'publish')""}","","","","item.status==='approved'&&canPublishRule&&item.draftedByEmployeeId!==auth.employee.id&&item.approvedByEmployeeId!==auth.employee.id","已定义交互事件","SYS-295、SYS-298","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0465","src/normalized-ui/CheckoutUpgradeManagementPanel.tsx","216","CheckoutUpgradeManagementPanel","button","复制为回滚草稿","{""onClick"":""()=>void ruleAction(item,'rollback-draft')""}","","","","item.status==='retired'&&canPublishRule","已定义交互事件","SYS-295、SYS-298","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0466","src/normalized-ui/CheckoutUpgradeManagementPanel.tsx","218","CheckoutUpgradeManagementPanel","summary","新建产能版本","{}","","","","expanded && canDraftCapacity","浏览器原生展开/收起","SYS-295、SYS-298","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0467","src/normalized-ui/CheckoutUpgradeManagementPanel.tsx","218","CheckoutUpgradeManagementPanel","form","出品站点 吧台 厨房 收银 配置原因 {capacity.windows.map((item,index)=><div key={item.key}><label>开始<input required type=""datetime-local"" value={item.startsAt} onChange={(event)=>setCapacity({...capacity,windows:replaceWindow(capacity.windows,index,{...item,startsAt:event.target.value})})}/></label><label>结束<input required type=""datetime-local"" value={item.endsAt} onChange={(event)=>setCapacity({...capacity,windows:replaceWindow(capacity.windows,index,{...item,endsAt:event.target.value})})}/></label><label>上限单位<input required type=""number"" min={1} max={1000000} value={item.capacityLimitUnits} onChange={(event)=>setCapacity({...capacity,windows:replaceWindow(capacity.windows,index,{...item,capacityLimitUnits","{""onSubmit"":""(event)=>void saveCapacity(event)""}","","","","expanded && canDraftCapacity","已定义交互事件","SYS-295、SYS-298","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0468","src/normalized-ui/CheckoutUpgradeManagementPanel.tsx","219","CheckoutUpgradeManagementPanel","select","吧台 厨房 收银","{""onChange"":""(event)=>setCapacity({...capacity,stationCode:event.target.value as typeof capacity.stationCode})""}","(event)=>void saveCapacity(event)","","","expanded && canDraftCapacity","所属表单：(event)=>void saveCapacity(event)","SYS-295、SYS-298","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0469","src/normalized-ui/CheckoutUpgradeManagementPanel.tsx","220","CheckoutUpgradeManagementPanel","input","配置原因","{""onChange"":""(event)=>setCapacity({...capacity,reason:event.target.value})""}","(event)=>void saveCapacity(event)","","","expanded && canDraftCapacity","所属表单：(event)=>void saveCapacity(event)","SYS-295、SYS-298","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0470","src/normalized-ui/CheckoutUpgradeManagementPanel.tsx","221","CheckoutUpgradeManagementPanel","input","开始","{""onChange"":""(event)=>setCapacity({...capacity,windows:replaceWindow(capacity.windows,index,{...item,startsAt:event.target.value})})""}","(event)=>void saveCapacity(event)","","","","所属表单：(event)=>void saveCapacity(event)","SYS-295、SYS-298","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0471","src/normalized-ui/CheckoutUpgradeManagementPanel.tsx","221","CheckoutUpgradeManagementPanel","input","结束","{""onChange"":""(event)=>setCapacity({...capacity,windows:replaceWindow(capacity.windows,index,{...item,endsAt:event.target.value})})""}","(event)=>void saveCapacity(event)","","","","所属表单：(event)=>void saveCapacity(event)","SYS-295、SYS-298","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0472","src/normalized-ui/CheckoutUpgradeManagementPanel.tsx","221","CheckoutUpgradeManagementPanel","input","上限单位","{""onChange"":""(event)=>setCapacity({...capacity,windows:replaceWindow(capacity.windows,index,{...item,capacityLimitUnits:event.target.value})})""}","(event)=>void saveCapacity(event)","","","","所属表单：(event)=>void saveCapacity(event)","SYS-295、SYS-298","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0473","src/normalized-ui/CheckoutUpgradeManagementPanel.tsx","221","CheckoutUpgradeManagementPanel","button","删除时间窗","{""onClick"":""()=>setCapacity({...capacity,windows:capacity.windows.filter((_,position)=>position!==index)})""}","(event)=>void saveCapacity(event)","","","capacity.windows.length>1","所属表单：(event)=>void saveCapacity(event)","SYS-295、SYS-298","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0474","src/normalized-ui/CheckoutUpgradeManagementPanel.tsx","222","CheckoutUpgradeManagementPanel","button","增加时间窗","{""onClick"":""()=>setCapacity({...capacity,windows:[...capacity.windows,emptyWindow()]})""}","(event)=>void saveCapacity(event)","","","expanded && canDraftCapacity","所属表单：(event)=>void saveCapacity(event)","SYS-295、SYS-298","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0475","src/normalized-ui/CheckoutUpgradeManagementPanel.tsx","222","CheckoutUpgradeManagementPanel","button","保存产能草稿","{}","(event)=>void saveCapacity(event)","","busy==='capacity-draft'","expanded && canDraftCapacity","所属表单：(event)=>void saveCapacity(event)","SYS-295、SYS-298","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0476","src/normalized-ui/CheckoutUpgradeManagementPanel.tsx","224","CheckoutUpgradeManagementPanel","button","审批","{""onClick"":""()=>void capacityAction(item,'approve')""}","","","","item.status==='draft'&&canApproveCapacity","已定义交互事件","SYS-295、SYS-298","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0477","src/normalized-ui/CheckoutUpgradeManagementPanel.tsx","224","CheckoutUpgradeManagementPanel","button","发布","{""onClick"":""()=>void capacityAction(item,'publish')""}","","","","item.status==='approved'&&canPublishCapacity","已定义交互事件","SYS-295、SYS-298","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0478","src/normalized-ui/ConfirmationDialog.tsx","109","ConfirmationDialog","button","{request.cancelLabel}","{""onClick"":""() => onResolve(false)""}","","","","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0479","src/normalized-ui/ConfirmationDialog.tsx","112","ConfirmationDialog","button","{request.confirmLabel}","{""onClick"":""() => onResolve(true)""}","","","","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0480","src/normalized-ui/ConfirmationDialog.tsx","165","InputPromptDialog","textarea","{request.multiline ? <textarea id={inputId} ref={(node) => { input.current = node }} value={value} onChange={(event) => setValue(event.target.value)} /> : <input id={inputId} ref={(node) => { input.current = node }} value={value} onChange={(event) => setValue(event.target.value)} />}","{""onChange"":""(event) => setValue(event.target.value)""}","","","","request.multiline","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0481","src/normalized-ui/ConfirmationDialog.tsx","166","InputPromptDialog","input","{request.multiline ? <textarea id={inputId} ref={(node) => { input.current = node }} value={value} onChange={(event) => setValue(event.target.value)} /> : <input id={inputId} ref={(node) => { input.current = node }} value={value} onChange={(event) => setValue(event.target.value)} />}","{""onChange"":""(event) => setValue(event.target.value)""}","","","","request.multiline","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0482","src/normalized-ui/ConfirmationDialog.tsx","169","InputPromptDialog","button","{request.cancelLabel}","{""onClick"":""() => onResolve(null)""}","","","","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0483","src/normalized-ui/ConfirmationDialog.tsx","170","InputPromptDialog","button","{request.confirmLabel}","{""onClick"":""() => onResolve(value)""}","","","","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0484","src/normalized-ui/CouponCalendarPreviewPanel.tsx","69","CouponCalendarPreviewPanel","summary","优惠券可用日历预览","{}","","","","","浏览器原生展开/收起","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0485","src/normalized-ui/CouponCalendarPreviewPanel.tsx","73","CouponCalendarPreviewPanel","input","可用日期起","{""onChange"":""event => change('from', event.target.value)""}","","","","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0486","src/normalized-ui/CouponCalendarPreviewPanel.tsx","74","CouponCalendarPreviewPanel","input","可用日期止（含当天）","{""onChange"":""event => change('through', event.target.value)""}","","","","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0487","src/normalized-ui/CouponCalendarPreviewPanel.tsx","75","CouponCalendarPreviewPanel","input","绝对开始时间（可留空，取起始日零点）","{""onChange"":""event => change('absoluteFrom', event.target.value)""}","","","","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0488","src/normalized-ui/CouponCalendarPreviewPanel.tsx","76","CouponCalendarPreviewPanel","input","绝对截止时间（北京时间）","{""onChange"":""event => change('until', event.target.value)""}","","","","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0489","src/normalized-ui/CouponCalendarPreviewPanel.tsx","77","CouponCalendarPreviewPanel","select","日期归属","{""onChange"":""event => change('basis', event.target.value)""}","","","","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0490","src/normalized-ui/CouponCalendarPreviewPanel.tsx","78","CouponCalendarPreviewPanel","NumberInputWithUnit","发放后有效天数（留空仅按固定日期）","{""onChange"":""event=>change('relativeDays',event.target.value)""}","","","","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0491","src/normalized-ui/CouponCalendarPreviewPanel.tsx","79","CouponCalendarPreviewPanel","select","每满24小时算一天 自然日结束（发放当日算第1天） 营业日结束（须先配置营业日）","{""onChange"":""event=>change('relativeBasis',event.target.value)""}","","","","form.relativeDays!==''","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0492","src/normalized-ui/CouponCalendarPreviewPanel.tsx","79","CouponCalendarPreviewPanel","input","模拟发放时间（北京时间）","{""onChange"":""event=>change('issuedAt',event.target.value)""}","","","","form.relativeDays!==''","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0493","src/normalized-ui/CouponCalendarPreviewPanel.tsx","80","CouponCalendarPreviewPanel","input","营业日换日时刻","{""onChange"":""event => change('cutoff', event.target.value)""}","","","","form.basis === 'business'","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0494","src/normalized-ui/CouponCalendarPreviewPanel.tsx","81","CouponCalendarPreviewPanel","select","{['一','二','三','四','五','六','日'].map((day, index) => <option key={day} value={index + 1}>星期{day}</option>)}","{""onChange"":""event => change('weekStartsOn', event.target.value)""}","","","","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0495","src/normalized-ui/CouponCalendarPreviewPanel.tsx","83","CouponCalendarPreviewPanel","input","周 {day}","{""onChange"":""event => { invalidate(); setWeekdays(previous => event.target.checked ? [...previous, index + 1] : previous.filter(value => value !== index + 1)) }""}","","","","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0496","src/normalized-ui/CouponCalendarPreviewPanel.tsx","84","CouponCalendarPreviewPanel","input","全天可用","{""onChange"":""event => change('allDay', event.target.checked)""}","","","","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0497","src/normalized-ui/CouponCalendarPreviewPanel.tsx","87","CouponCalendarPreviewPanel","input","时段 {index + 1} 开始","{""onChange"":""event => { invalidate(); setWindows(previous => previous.map((item, position) => position === index ? { ...item, start: event.target.value } : item)) }""}","","","","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0498","src/normalized-ui/CouponCalendarPreviewPanel.tsx","88","CouponCalendarPreviewPanel","input","时段 {index + 1} 结束","{""onChange"":""event => { invalidate(); setWindows(previous => previous.map((item, position) => position === index ? { ...item, end: event.target.value } : item)) }""}","","","","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0499","src/normalized-ui/CouponCalendarPreviewPanel.tsx","89","CouponCalendarPreviewPanel","button","移除时段 {index + 1}","{""onClick"":""() => { invalidate(); setWindows(previous => previous.filter((_, position) => position !== index)) }""}","","","","windows.length > 1","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0500","src/normalized-ui/CouponCalendarPreviewPanel.tsx","91","CouponCalendarPreviewPanel","button","添加时间段","{""onClick"":""() => { invalidate(); setWindows(previous => [...previous, { start: '18:00', end: '20:00' }]) }""}","","","windows.length >= 12","!form.allDay","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0501","src/normalized-ui/CouponCalendarPreviewPanel.tsx","94","CouponCalendarPreviewPanel","textarea","排除日期（完整年月日，逗号或换行分隔）","{""onChange"":""event => change('excluded', event.target.value)""}","","","","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0502","src/normalized-ui/CouponCalendarPreviewPanel.tsx","95","CouponCalendarPreviewPanel","button","{busy ? '正在计算…' : '生成可用日历'}","{""onClick"":""() => void preview()""}","","","busy","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0503","src/normalized-ui/CouponCalendarPreviewPanel.tsx","103","CouponCalendarPreviewPanel","button","查看后续日期","{""onClick"":""() => void preview(result.nextCalendarDate!)""}","","","busy","result && !result.hasUsableWindow && result.nextCalendarDate","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0504","src/normalized-ui/CouponCalendarVersionPanel.tsx","72","CouponCalendarVersionPanel","button","读取最近30个时间规则版本","{""onClick"":""() => void load()""}","","","busy","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0505","src/normalized-ui/CouponCalendarVersionPanel.tsx","73","CouponCalendarVersionPanel","select","选择时间规则版本","{""onChange"":""event => { const item = items.find(value => value.id === event.target.value); if (item) open(item) }""}","","","busy","items.length > 0","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0506","src/normalized-ui/CouponCalendarVersionPanel.tsx","75","CouponCalendarVersionPanel","input","活动规则编号","{""onChange"":""event => { setCode(event.target.value); setVersion(0); setSelected(null) }""}","","","","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0507","src/normalized-ui/CouponCalendarVersionPanel.tsx","76","CouponCalendarVersionPanel","NumberInputWithUnit","{label}","{""onChange"":""event => { setSelected(null); setLimits(previous => ({ ...previous, [key]: event.target.value })) }""}","","","","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0508","src/normalized-ui/CouponCalendarVersionPanel.tsx","77","CouponCalendarVersionPanel","input","本次版本操作原因","{""onChange"":""event => setReason(event.target.value)""}","","","","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0509","src/normalized-ui/CouponCalendarVersionPanel.tsx","79","CouponCalendarVersionPanel","button","保存时间规则第 {version + 1} 版","{""onClick"":""() => void save()""}","","","reason.trim().length < 2","auth.permissions.includes('loyalty.configuration.edit')","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0510","src/normalized-ui/CouponCalendarVersionPanel.tsx","81","CouponCalendarVersionPanel","button","审批时间规则","{""onClick"":""() => void decide('approve')""}","","","reason.trim().length < 2","selected && selected.status === 'draft' && selected.createdByEmployeeId !== auth.employee.id && auth.permissions.includes('loyalty.configuration.approve')","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0511","src/normalized-ui/CouponCalendarVersionPanel.tsx","82","CouponCalendarVersionPanel","button","发布时间规则","{""onClick"":""() => void decide('publish')""}","","","reason.trim().length < 2","selected && selected.status === 'approved' && selected.createdByEmployeeId !== auth.employee.id && !selected.decisions.some(item => item.action === 'approve' && item.employeeId === auth.employee.id) && auth.permissions.includes('loy","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0512","src/normalized-ui/CouponCalendarVersionPanel.tsx","83","CouponCalendarVersionPanel","button","停止此版本新发券","{""onClick"":""() => void decide('stop_issuing')""}","","","reason.trim().length < 2","selected && selected.status === 'published' && auth.permissions.includes('loyalty.policy.publish')","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0513","src/normalized-ui/CouponRefundReviewPanel.tsx","44","CouponRefundReviewPanel","summary","退款后的权益复核","{}","","","","","浏览器原生展开/收起","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0514","src/normalized-ui/CouponRefundReviewPanel.tsx","46","CouponRefundReviewPanel","button","读取待复核权益","{""onClick"":""()=>void load('pending')""}","","","busy","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0515","src/normalized-ui/CouponRefundReviewPanel.tsx","46","CouponRefundReviewPanel","button","已处理记录","{""onClick"":""()=>void load('resolved')""}","","","busy","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0516","src/normalized-ui/CouponRefundReviewPanel.tsx","50","CouponRefundReviewPanel","button","复核此权益","{""onClick"":""()=>{setSelected(key(row));setAction('');setReason('');setEvidence('');setReplacements([]);setReplacementCursor(null);setReplacementId('')}""}","","","busy","row.action && auth.permissions.includes('loyalty.policy.publish')","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0517","src/normalized-ui/CouponRefundReviewPanel.tsx","53","CouponRefundReviewPanel","select","权益处理方式","{""onChange"":""e=>setAction(e.target.value)""}","","","","row.action && auth.permissions.includes('loyalty.policy.publish') && selected===key(row)","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0518","src/normalized-ui/CouponRefundReviewPanel.tsx","61","CouponRefundReviewPanel","button","读取本人新券","{""onClick"":""()=>void loadReplacements(row)""}","","","","row.action && auth.permissions.includes('loyalty.policy.publish') && selected===key(row) && action==='replacement_coupon'","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0519","src/normalized-ui/CouponRefundReviewPanel.tsx","62","CouponRefundReviewPanel","select","已发补偿券","{""onChange"":""event=>setReplacementId(event.target.value)""}","","","","row.action && auth.permissions.includes('loyalty.policy.publish') && selected===key(row) && action==='replacement_coupon'","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0520","src/normalized-ui/CouponRefundReviewPanel.tsx","63","CouponRefundReviewPanel","button","更多本人新券","{""onClick"":""()=>void loadReplacements(row,true)""}","","","","row.action && auth.permissions.includes('loyalty.policy.publish') && selected===key(row) && action==='replacement_coupon' && replacementCursor","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0521","src/normalized-ui/CouponRefundReviewPanel.tsx","65","CouponRefundReviewPanel","textarea","权益复核原因","{""onChange"":""e=>setReason(e.target.value)""}","","","","row.action && auth.permissions.includes('loyalty.policy.publish') && selected===key(row)","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0522","src/normalized-ui/CouponRefundReviewPanel.tsx","66","CouponRefundReviewPanel","input","规则或补偿凭证","{""onChange"":""e=>setEvidence(e.target.value)""}","","","","row.action && auth.permissions.includes('loyalty.policy.publish') && selected===key(row)","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0523","src/normalized-ui/CouponRefundReviewPanel.tsx","67","CouponRefundReviewPanel","button","记录权益处理","{""onClick"":""()=>void decide(row)""}","","","!action||reason.trim().length<2||evidence.trim().length<2||(action==='replacement_coupon'&&!replacementId)","row.action && auth.permissions.includes('loyalty.policy.publish') && selected===key(row)","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0524","src/normalized-ui/CouponRefundReviewPanel.tsx","70","CouponRefundReviewPanel","button","更多权益复核","{""onClick"":""()=>void load(state,true)""}","","","busy","cursor","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
