"源文件","行","函数","直接识别的API调用","状态/反馈调用","所属文件问题","证据边界"
"src/normalized-ui/CheckoutUpgradeManagementPanel.tsx","96","saveRule","api.putEndpoint(`/api/staff/customer-experience/checkout-upgrade-rules/${encodeURIComponent(code)}`, { qualification:{maximumAddMinor:number(qualification.maximumAddMinor,'最多加价',0),maximumAddBasisPoints:qualification.maximumAddBasisPoints.trim()?number(qualification.maximumAddBasisPoints,'相对加价上限',0):null, minimumContributionMinor:number(qualification.minimumContributionMinor,'升级后最低贡献额',0),minimumIncrementalContributionMinor:number(qualification.minimumIncrementalContributionMinor,'最低新增贡献额',0),positiveFitReason:qualification.positiveFitReason.trim(),maximumQuantitiesPerPerson:portionLimits,excludedProductIds:excludedProducts}, name:rule.name.t","setBusy('rule-draft')
setNotice('')
setNotice('规则草稿已保存。须由另一人审批、第三人发布；保存草稿不会开启升级推荐。')
setNotice(message(error,'规则草稿没有保存'))
setBusy('')","SYS-295、SYS-298","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/CheckoutUpgradeManagementPanel.tsx","117","ruleAction","api.postEndpoint(endpoint,{reason},{idempotencyKey:operationKey(`checkout-rule-${action}`)})","setBusy(`${item.id}:${action}`)
setNotice('')
setNotice(action==='approve'?'审批完成，仍需第三人发布。':action==='publish'?'新规则版本已发布；此操作不改变升级功能开关。':'已从历史版本复制新草稿，不会覆盖当前版本。')
setNotice(message(error,'规则操作没有完成'))
setBusy('')","SYS-295、SYS-298","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/CheckoutUpgradeManagementPanel.tsx","137","saveCapacity","api.postEndpoint('/api/staff/customer-experience/fulfillment-capacity-policies', { stationCode:capacity.stationCode,reason:capacity.reason.trim(),windows:capacity.windows.map((item)=>({ startsAt:localIso(item.startsAt,'开始时间'),endsAt:localIso(item.endsAt,'结束时间'), capacityLimitUnits:number(item.capacityLimitUnits,'产能上限',1), })), }, { idempotencyKey:operationKey('fulfillment-capacity-draft') })","setBusy('capacity-draft')
setNotice('')
setNotice('产能草稿已保存。须由另一人审批、第三人发布后才成为运行事实。')
setNotice(message(error,'产能草稿没有保存'))
setBusy('')","SYS-295、SYS-298","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/CheckoutUpgradeManagementPanel.tsx","152","capacityAction","api.postEndpoint(`/api/staff/customer-experience/fulfillment-capacity-policies/${encodeURIComponent(item.id)}/${action}`, {reason},{idempotencyKey:operationKey(`fulfillment-capacity-${action}`)})","setBusy(`${item.id}:${action}`)
setNotice('')
setNotice(action==='approve'?'产能版本已审批，仍需第三人发布。':'产能版本已发布。')
setNotice(message(error,'产能操作没有完成'))
setBusy('')","SYS-295、SYS-298","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/complete-catalog.ts","7","loadCompleteActiveCatalog","api.getEndpoint<{ data: unknown }>( `/api/catalog/products?status=active&limit=${CATALOG_PAGE_SIZE}&offset=${offset}`, { signal }, )","","","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/CouponCalendarPreviewPanel.tsx","33","invalidate","","setInputRevision(previous => previous + 1)
setBusy(false)
setResult(null)
setError('')","","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/CouponCalendarPreviewPanel.tsx","34","change","","setForm(previous => ({ ...previous, [key]: value }))","","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/CouponCalendarPreviewPanel.tsx","48","loadRule","","setBusy(false)
setResult(null)
setError('')
setForm({ from: rule.dateFrom, through: rule.dateThrough, until: localInstant(rule.validUntil), absoluteFrom: localInstant(rule.validFrom), basis: rule.dateBasis, cutoff: clock(rule.businessDayStartMinute), allDay: false, excluded: rule.excludedDates.join('\n'), weekStartsOn: String(rule.weekStartsOn),relativeDays:rule.relativeValidity?String(rule.relativeValidity.days):'',relativeBasis:rule.relativeValidity?.basis??'elapsed',issuedAt:'' })
setWindows(rule.windows.map(window => ({ start: clock(window.startMinute), end: clock(window.endMinute) })))
setWeekdays(rule.weekdays)","","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/CouponCalendarPreviewPanel.tsx","57","preview","api.postEndpoint<CalendarPreview>('/api/staff/loyalty/coupon-calendar-preview', { rule, previewFrom, days: 31,issuedAt })","setBusy(true)
setError('')
setResult(next)
setResult(null)
setError(failure instanceof Error ? failure.message : '日历暂时无法生成，请重试')
setBusy(false)","","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/CouponCalendarVersionPanel.tsx","35","load","api.getEndpoint<{ data: CalendarVersion[] }>(path)","setBusy(true)
setMessage('')
setItems(result.data)
setMessage(error instanceof Error ? error.message : '读取失败，请重试')
setBusy(false)","","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/CouponCalendarVersionPanel.tsx","41","open","","setSelected(item)
setCode(item.code)
setVersion(item.version)
setReason('')
setMessage('')
setLimits({ perCustomerDay: String(item.limits.perCustomerDay ?? ''), perCustomerWeek: String(item.limits.perCustomerWeek ?? ''), perCustomerCampaign: String(item.limits.perCustomerCampaign ?? '') })","","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/CouponCalendarVersionPanel.tsx","46","remember","","setSelected(item)
setVersion(item.version)
setItems(previous => [item, ...previous.filter(old => old.id !== item.id)].slice(0,30))","","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/CouponCalendarVersionPanel.tsx","47","save","","setBusy(true)
setMessage('')
setMessage(`已保存 ${result.code} 第${result.version}版草稿，未发布、未发券。`)
setMessage(error instanceof Error ? error.message : '保存结果未确认，可重试核对')
setBusy(false)","","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/CouponCalendarVersionPanel.tsx","60","decide","api.postEndpoint<CalendarVersion>(`${path}/${target.id}/decisions`, { action, reason })","setBusy(true)
setMessage('')
setMessage(`${target.code} 第${target.version}版${label}已记录。`)
setMessage(error instanceof Error ? error.message : '操作结果未确认，请重新读取')
setBusy(false)","","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/CouponRefundReviewPanel.tsx","17","load","api.getEndpoint<{data:{items:Review[];nextCursor:string|null}}>(`/api/staff/member-gifts/refund-reviews?${query}`)","setBusy(true)
setMessage('')
setRows(previous=>more?[...new Map([...previous,...response.data.items].map(row=>[key(row),row])).values()]:response.data.items)
setCursor(response.data.nextCursor)
setState(nextState)
setLoaded(true)
setSelected(null)
setMessage(error instanceof Error?error.message:'读取失败，不能判定没有待办')
setBusy(false)","","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/CouponRefundReviewPanel.tsx","24","loadReplacements","api.getEndpoint<{data:{items:Replacement[];nextCursor:string|null}}>(`/api/staff/member-gifts/refund-replacement-options?${query}`)","setBusy(true)
setMessage('')
setReplacements(previous=>more?[...new Map([...previous,...response.data.items].map(item=>[item.id,item])).values()]:response.data.items)
setReplacementCursor(response.data.nextCursor)
setMessage(error instanceof Error?error.message:'补偿券读取失败，请重试')
setBusy(false)","","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/CouponRefundReviewPanel.tsx","32","decide","","setBusy(true)
setMessage('')
setMessage(error instanceof Error?error.message:'结果尚未确认，请读取记录核对后重试')
setBusy(false)
setMessage(refreshed?'权益复核已记录，可在已处理记录查看；未改动收退款金额。':'权益复核已记录，但列表刷新失败，请重新读取核对。未改动收退款金额。')","","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/CustodyDepositCapture.tsx","11","stop","","setCamera(false)
setReady(false)
setStarting(false)","","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/CustodyDepositCapture.tsx","15","start","","setError('')
setStarting(true)
setCamera(true)
setError(e instanceof Error?`摄像头未就绪：${e.message}`:'摄像头无法使用，请检查授权')
setStarting(false)","","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/CustodyDepositCapture.tsx","16","capture","","setError(e instanceof Error?e.message:'拍照失败')","","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/CustodyReportPanel.tsx","9","run","","setBusy(true)
setMessage('')
setMessage(e instanceof Error?e.message:'查询失败')
setBusy(false)","SYS-299","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/CustodyReportPanel.tsx","10","query","api.getEndpoint<{data:Report}>(`/api/staff/bottle-custody/report?${new URLSearchParams({...input(),offset:String(offset)})}`)","setResult(data)","SYS-299","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/CustomerExperienceAnalyticsPanel.tsx","101","load","api.getEndpoint<{ data: AnalyticsView }>(`/api/staff/customer-experience/analytics?${query}`)
api.getEndpoint<{ data: ObservationEvidence[] }>( `/api/staff/customer-experience/analytics/observations?${query}&limit=50`, )","setBusy(true)
setNotice('')
setView(response.data)
setEvidence(evidenceResponse.data)
setProductOptions((current) => mergeOptions(current,[ ...response.data.products.map((item) => ({ id: item.productId,name: item.productName })), ...response.data.recommendation.map((item) => ({ id: item.productId,name: item.productName })), ]))
setEmployeeOptions((current) => mergeOptions(current,response.data.dataQuality.staff.map((item) => ({ id: item.employeeId,name: item.employeeName, }))))
setNotice(error instanceof Error ? error.message : '经营分析暂时无法读取')
setBusy(false)","SYS-300","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/CustomerExperienceManagementPanel.tsx","286","submit","api.getEndpoint<{ data: StaffMemberAccountView }>(`/api/staff/loyalty/accounts?memberNo=${encodeURIComponent(memberNo.trim())}`)","setBusy(true)
setNotice('')
setAccount(null)
setAccount(response.data)
setNotice(error instanceof Error ? error.message : '会员账户暂时无法读取')
setBusy(false)","SYS-289、SYS-291、SYS-292、SYS-298、SYS-299、SYS-300、SYS-301","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/CustomerExperienceManagementPanel.tsx","356","addRule","","setNotice('规则代码需为3至64位大写字母、数字或下划线。')
setNotice('请选择权益定义。')
setNotice('请至少选择“进入等级发放”或“保级发放”。')
setNotice('规则代码不能重复。')
setNotice('发放数量不能超过100，有效期不能超过366天。')
setRules((current) => [...current, { ruleCode: code, eligibleTier: form.eligibleTier, inheritToHigherTiers: form.inheritToHigherTiers, grantOnEntry: form.grantOnEntry, grantOnRetention: form.grantOnRetention, benefitDefinitionId: form.benefitDefinitionId, quantity, validityDays, revocationPolicy: form.revocationPolicy, enabled: form.enabled, }])
setForm((current) => ({ ...current, ruleCode: '' }))
setNotice('已加入待保存规则。')","SYS-289、SYS-291、SYS-292、SYS-298、SYS-299、SYS-300、SYS-301","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/CustomerExperienceManagementPanel.tsx","376","saveDraft","api.postEndpoint('/api/staff/loyalty/tier-benefit-policies', { tierPolicyVersionId: form.tierPolicyVersionId, reason: form.reason.trim(), rules, }, { idempotencyKey: `tier-benefit-draft-${crypto.randomUUID()}` })","setNotice('请选择已发布等级规则、加入至少一条权益规则并填写起草原因。')
setBusy('draft')
setNotice('')
setRules([])
setForm((current) => ({ ...current, reason: '' }))
setNotice('等级权益政策已保存为草稿，必须独立审批后再发布。')
setNotice(error instanceof Error ? error.message : '等级权益政策草稿未保存')
setBusy('')","SYS-289、SYS-291、SYS-292、SYS-298、SYS-299、SYS-300、SYS-301","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/CustomerExperienceManagementPanel.tsx","394","approve","","setNotice('审批已移至上方“会员经营配置中心”：先生成服务端影响预览，再由未参与编辑的人审批。')","SYS-289、SYS-291、SYS-292、SYS-298、SYS-299、SYS-300、SYS-301","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/CustomerExperienceManagementPanel.tsx","399","publish","api.postEndpoint(`/api/staff/loyalty/tier-benefit-policies/${policy.id}/publish`, { effectiveFrom: new Date(effectiveFrom).toISOString(), effectiveUntil: null, reason, }, { idempotencyKey: `tier-benefit-publish-${crypto.randomUUID()}` })","setNotice('生效时间格式不正确，未发布。')
setNotice('发布说明不足，未发布。')
setBusy(`publish-${policy.id}`)
setNotice('')
setNotice('等级权益政策已排期发布，到期回收由后台定时任务独立处理。')
setNotice(error instanceof Error ? error.message : '等级权益政策未发布')
setBusy('')","SYS-289、SYS-291、SYS-292、SYS-298、SYS-299、SYS-300、SYS-301","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/CustomerExperienceManagementPanel.tsx","473","createDraft","api.postEndpoint('/api/staff/membership-terms/drafts', { title: form.title.trim(), summary: form.summary.trim(), content: form.content.trim(), reason: form.reason.trim(), }, { idempotencyKey: `membership-terms-draft-${crypto.randomUUID()}` })","setBusy('draft')
setNotice('')
setForm({ title: '', summary: '', content: '', reason: '' })
setNotice('条款草稿已保存，须由其他授权人员审批，再由第三人发布。')
setNotice(error instanceof Error ? error.message : '入会条款草稿未保存')
setBusy('')","SYS-289、SYS-291、SYS-292、SYS-298、SYS-299、SYS-300、SYS-301","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/CustomerExperienceManagementPanel.tsx","489","approve","","setNotice('审批已移至上方“会员经营配置中心”：服务端会核对条款影响和全部编辑者。')","SYS-289、SYS-291、SYS-292、SYS-298、SYS-299、SYS-300、SYS-301","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/CustomerExperienceManagementPanel.tsx","494","publish","api.postEndpoint(`/api/staff/membership-terms/${version.version}/publish`, { effectiveFrom: requestedTime ? new Date(requestedTime).toISOString() : null, reason, }, { idempotencyKey: `membership-terms-publish-${crypto.randomUUID()}` })","setNotice('生效时间格式不正确，未发布。')
setNotice('发布说明不足，未发布。')
setBusy(`publish-${version.version}`)
setNotice('')
setNotice('条款已发布；未到生效时间前，当前版本依然有效。')
setNotice(error instanceof Error ? error.message : '入会条款未发布')
setBusy('')","SYS-289、SYS-291、SYS-292、SYS-298、SYS-299、SYS-300、SYS-301","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/CustomerExperienceManagementPanel.tsx","569","saveVerifiedContact","api.postEndpoint('/api/staff/membership-recovery/verified-contacts', { memberNo: contact.memberNo.trim(), phone: contact.phone.trim(), reason: contact.reason.trim(), }, { idempotencyKey: `membership-recovery-contact-${crypto.randomUUID()}` })","setBusy('contact')
setNotice('')
setContact({ memberNo: '', phone: '', reason: '' })
setNotice('历史会员联系方式已按受控流程核验；不会因此开启营销通知。')
setNotice(error instanceof Error ? error.message : '联系方式核验没有完成')
setBusy('')","SYS-289、SYS-291、SYS-292、SYS-298、SYS-299、SYS-300、SYS-301","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/CustomerExperienceManagementPanel.tsx","583","loadCandidates","api.getEndpoint<{ data: MembershipRecoveryCandidateView[] }>( `/api/staff/membership-recovery/cases/${encodeURIComponent(item.casePublicId)}/candidates`, )","setBusy(`candidates-${item.casePublicId}`)
setNotice('')
setCandidates((current) => ({ ...current, [item.casePublicId]: response.data }))
setNotice(error instanceof Error ? error.message : '候选会员暂时无法读取')
setBusy('')","SYS-289、SYS-291、SYS-292、SYS-298、SYS-299、SYS-300、SYS-301","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/CustomerExperienceManagementPanel.tsx","594","selectCandidate","api.postEndpoint(`/api/staff/membership-recovery/cases/${encodeURIComponent(item.casePublicId)}/select`, { candidatePublicId: candidate.candidatePublicId, reason, }, { idempotencyKey: `membership-recovery-select-${crypto.randomUUID()}` })","setNotice('核验依据不足，未选择候选。')
setBusy(`select-${item.casePublicId}`)
setNotice('')
setNotice('候选已核验，须由另一名有合并复核权限的员工处理。')
setNotice(error instanceof Error ? error.message : '候选没有选定')
setBusy('')","SYS-289、SYS-291、SYS-292、SYS-298、SYS-299、SYS-300、SYS-301","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/CustomerExperienceManagementPanel.tsx","613","decide","api.postEndpoint(`/api/staff/membership-recovery/cases/${encodeURIComponent(item.casePublicId)}/${decision}`, { reason, }, { idempotencyKey: `membership-recovery-${decision}-${crypto.randomUUID()}` })","setNotice(`${label}不足，未处理。`)
setBusy(`${decision}-${item.casePublicId}`)
setNotice('')
setNotice(decision === 'approve' ? '会员关系已合并；来源账户、积分流水和权益历史仍保留。' : '找回申请已驳回并留存审计。')
setNotice(error instanceof Error ? error.message : '找回申请没有处理')
setBusy('')","SYS-289、SYS-291、SYS-292、SYS-298、SYS-299、SYS-300、SYS-301","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/CustomerExperienceManagementPanel.tsx","720","draftTier","api.postEndpoint('/api/staff/loyalty/tier-policies', { evaluationWindowMonths: positiveInteger(tierForm.evaluationWindowMonths, '评估窗口'), tierPeriodMonths: positiveInteger(tierForm.tierPeriodMonths, '等级周期'), downgradeGraceDays: nonNegativeIntegerText(tierForm.downgradeGraceDays, '降级宽限'), silverUpgradeGrowth: positiveInteger(tierForm.silverUpgradeGrowth, '银卡升级值'), silverRetainGrowth: nonNegativeIntegerText(tierForm.silverRetainGrowth, '银卡保级值'), goldUpgradeGrowth: positiveInteger(tierForm.goldUpgradeGrowth, '金卡升级值'), goldRetainGrowth: nonNegativeIntegerText(tierForm.goldRetainGrowth, '金卡保级值'), silverPointsMultiplierNumerator: silver.numerator, s","setBusy('tier-draft')
setNotice('')
setNotice('等级规则已保存为草稿，需另一名授权人员复核。')
setNotice(error instanceof Error ? error.message : '等级规则草稿未保存')
setBusy('')","SYS-289、SYS-291、SYS-292、SYS-298、SYS-299、SYS-300、SYS-301","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/CustomerExperienceManagementPanel.tsx","745","approveTier","","setNotice('审批已移至上方“会员经营配置中心”：客户端勾选“已看影响”不再具有审批效力。')","SYS-289、SYS-291、SYS-292、SYS-298、SYS-299、SYS-300、SYS-301","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/CustomerExperienceManagementPanel.tsx","750","publishTier","api.postEndpoint(`/api/staff/loyalty/tier-policies/${encodeURIComponent(policy.id)}/publish`, { effectiveFrom: new Date(effectiveFrom).toISOString(), effectiveUntil: null, reason, }, { idempotencyKey: `loyalty-tier-publish-${crypto.randomUUID()}` })","setNotice('生效时间或复核说明不正确。')
setBusy(`tier-${policy.id}`)
setNotice('')
setNotice('等级规则已由第三名发布人排期；生效前旧规则继续运行。')
setNotice(error instanceof Error ? error.message : '等级规则未发布')
setBusy('')","SYS-289、SYS-291、SYS-292、SYS-298、SYS-299、SYS-300、SYS-301","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/CustomerExperienceManagementPanel.tsx","776","draftCatalog","api.postEndpoint('/api/staff/loyalty/redemption-catalogs', { reason: itemForm.reason.trim(), items, }, { idempotencyKey: `loyalty-redemption-catalog-${crypto.randomUUID()}` })","setNotice('请选择有效商品。')
setBusy('catalog-draft')
setNotice('')
setNotice('已生成包含现有兑换项的新目录草稿，旧发布版本未改变。')
setNotice(error instanceof Error ? error.message : '兑换目录草稿未保存')
setBusy('')","SYS-289、SYS-291、SYS-292、SYS-298、SYS-299、SYS-300、SYS-301","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/CustomerExperienceManagementPanel.tsx","811","approveCatalog","","setNotice('审批已移至上方“会员经营配置中心”：系统会重新计算成本、库存和履约影响。')","SYS-289、SYS-291、SYS-292、SYS-298、SYS-299、SYS-300、SYS-301","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/CustomerExperienceManagementPanel.tsx","816","publishCatalog","api.postEndpoint(`/api/staff/loyalty/redemption-catalogs/${encodeURIComponent(version.id)}/publish`, { effectiveFrom: new Date(effectiveFrom).toISOString(), effectiveUntil: null, reason, }, { idempotencyKey: `loyalty-redemption-publish-${crypto.randomUUID()}` })","setNotice('生效时间或复核说明不正确。')
setBusy(`catalog-${version.id}`)
setNotice('')
setNotice('兑换目录已由第三名发布人排期，仍需单独开放运行开关。')
setNotice(error instanceof Error ? error.message : '兑换目录未发布')
setBusy('')","SYS-289、SYS-291、SYS-292、SYS-298、SYS-299、SYS-300、SYS-301","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/CustomerExperienceManagementPanel.tsx","842","setControl","api.putEndpoint('/api/staff/loyalty/redemption-control', { state, pilotStartsAt: pilotStartsAt ? new Date(pilotStartsAt).toISOString() : null, pilotEndsAt: pilotEndsAt ? new Date(pilotEndsAt).toISOString() : null, reason, }, { idempotencyKey: `loyalty-redemption-control-${crypto.randomUUID()}` })","setNotice('变更原因不足。')
setNotice('试点时间不正确。')
setBusy(`control-${state}`)
setNotice('')
setNotice('兑换运行状态已更新，历史兑换记录不受影响。')
setNotice(error instanceof Error ? error.message : '兑换状态未更新')
setBusy('')","SYS-289、SYS-291、SYS-292、SYS-298、SYS-299、SYS-300、SYS-301","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/CustomerExperienceManagementPanel.tsx","869","fulfill","api.postEndpoint(`/api/staff/loyalty/redemptions/${encodeURIComponent(publicId)}/fulfill`, { reason }, { idempotencyKey: `loyalty-redemption-fulfill-${crypto.randomUUID()}`, })","setNotice('交付说明不足。')
setBusy(`fulfill-${publicId}`)
setNotice('')
setNotice('已记录实际交付及对应商品、活动、服务或权益事实。')
setNotice(error instanceof Error ? error.message : '兑换未完成交付')
setBusy('')","SYS-289、SYS-291、SYS-292、SYS-298、SYS-299、SYS-300、SYS-301","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/CustomerExperienceManagementPanel.tsx","887","failRedemption","api.postEndpoint(`/api/staff/loyalty/redemptions/${encodeURIComponent(item.publicId)}/fail`, { failureCode, reason, confirmedUnfulfilled: true, }, { idempotencyKey: `loyalty-redemption-fail-${crypto.randomUUID()}` })","setNotice('失败说明不足，未处理。')
setBusy(`fail-${item.publicId}`)
setNotice('')
setNotice('已记录门店无法履约；只有确认尚未履约的兑换会按原批次返还。')
setNotice(error instanceof Error ? error.message : '兑换失败处理没有完成')
setBusy('')","SYS-289、SYS-291、SYS-292、SYS-298、SYS-299、SYS-300、SYS-301","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/CustomerExperienceManagementPanel.tsx","994","draft","api.postEndpoint('/api/staff/loyalty/policies', { policyCode: 'BASE', pointsNumerator: nonNegativeIntegerText(form.pointsNumerator, '积分比例分子'), pointsDenominatorMinor: positiveInteger(form.pointsDenominatorMinor, '积分比例分母'), growthNumerator: nonNegativeIntegerText(form.growthNumerator, '成长值比例分子'), growthDenominatorMinor: positiveInteger(form.growthDenominatorMinor, '成长值比例分母'), roundingMode: form.roundingMode, pointsValidityMonths: positiveInteger(form.pointsValidityMonths, '积分有效月数'), reason: form.reason.trim(), }, { idempotencyKey: `loyalty-policy-draft-${crypto.randomUUID()}` })","setBusy('draft')
setNotice('')
setNotice('新规则已保存为草稿，必须由另一名授权人员复核后才会生效。')
setNotice(error instanceof Error ? error.message : '会员规则草稿未保存')
setBusy('')","SYS-289、SYS-291、SYS-292、SYS-298、SYS-299、SYS-300、SYS-301","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/CustomerExperienceManagementPanel.tsx","1015","approve","","setNotice('审批已移至上方“会员经营配置中心”：必须使用服务端持久化的限时影响预览。')","SYS-289、SYS-291、SYS-292、SYS-298、SYS-299、SYS-300、SYS-301","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/CustomerExperienceManagementPanel.tsx","1020","publish","api.postEndpoint(`/api/staff/loyalty/policies/${encodeURIComponent(policy.id)}/publish`, { effectiveFrom: new Date(effectiveFrom).toISOString(), effectiveUntil: null, reason, }, { idempotencyKey: `loyalty-policy-publish-${crypto.randomUUID()}` })","setNotice('生效时间格式不正确，未发布。')
setNotice('发布说明不足，未发布。')
setBusy(policy.id)
setNotice('')
setNotice('规则已由第三名发布人排期；生效前旧规则继续运行，历史订单仍使用原规则版本。')
setNotice(error instanceof Error ? error.message : '会员规则未发布')
setBusy('')","SYS-289、SYS-291、SYS-292、SYS-298、SYS-299、SYS-300、SYS-301","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/CustomerExperienceManagementPanel.tsx","1047","requestSupplement","api.postEndpoint(`/api/staff/loyalty/accrual-exceptions/${encodeURIComponent(item.orderPublicId)}/requests`, { reason, }, { idempotencyKey: `loyalty-supplement-request-${crypto.randomUUID()}` })","setNotice('申请原因不足，未提交。')
setBusy(`request-${item.orderPublicId}`)
setNotice('')
setNotice('补发申请已提交，必须由另一名授权人员复核。')
setNotice(error instanceof Error ? error.message : '补发申请未提交')
setBusy('')","SYS-289、SYS-291、SYS-292、SYS-298、SYS-299、SYS-300、SYS-301","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
