"TC编号","优先级","状态","工程覆盖度","责任人","执行场景","通过条件","必须提交的证据"
"ORD-018","P1","未执行","直接自动化证据","冷言志、申良良、Tom、Jerry、Tyke","客人退回质量不合格饮品/菜品","经理确认重做、改品或退款；新KDS任务关联原品项，库存和成本记录一次","order-domain及inventory-order-integration测试：质量退回后重做关联原品项并单独记录库存耗用"
"ORD-019","P1","未执行","历史通过/待本版逐条追溯","冷言志、申良良、Tom、Jerry、Tyke","两人同时点击取走/送达","只有一个状态转换成功；另一人看到最新状态，不能重复扣履约或权益","订单、KDS、错品/缺货/重做、送达及库存消耗集成回归"
"ORD-020","P1","未执行","历史通过/待本版逐条追溯","冷言志、申良良、Tom、Jerry、Tyke","换桌期间有商品正在制作","KDS收到最新送达桌号并保留原桌；取送端必须核对当前桌次，旧桌不接收","订单、KDS、错品/缺货/重做、送达及库存消耗集成回归"
"PAY-001","P0","阻塞","外部依赖","三沐、李艳、护古、陈方宇","客户自助扫码下单后微信支付","订单、金额、桌次一致；只由验签回调/服务端查单置成功；员工端实时收到成功信号","需星驿/微信生产商户参数、KYC、真实小额支付/退款及渠道流水号"
"PAY-002","P0","阻塞","外部依赖","三沐、李艳、护古、陈方宇","服务员协助点单后展示支付二维码","二维码绑定唯一订单和金额；客人扫码后客户/服务员/收银同步状态","需星驿/微信生产商户参数、KYC、真实小额支付/退款及渠道流水号"
"PAY-003","P0","阻塞","外部依赖","三沐、李艳、护古、陈方宇","服务员选择扫客户付款码","显示金额二次确认；付款码不落日志；渠道结果未知时不重复扫","需星驿/微信生产商户参数、KYC、真实小额支付/退款及渠道流水号"
"PAY-004","P1","阻塞","外部依赖","三沐、李艳、护古、陈方宇","客人手机同步服务员建立的订单后点击支付","同一订单只产生受控支付意图；服务员二维码与手机支付不能造成重复支付","需星驿/微信生产商户参数、KYC、真实小额支付/退款及渠道流水号"
"PAY-005","P1","未执行","代码支持/待现场验证","三沐、李艳、护古、陈方宇","物理POS无法对接，收款后手工报送","记录终端、批次、凭证号、金额和操作者；状态为待对账，不伪装API成功","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"PAY-006","P1","未执行","代码支持/待现场验证","三沐、李艳、护古、陈方宇","现金支付","双人点验或经理复核，记录金额、找零和收银人；日结现金实盘一致","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"PAY-007","P0","阻塞","外部依赖","三沐、李艳、护古、陈方宇","一桌多人拆分支付","每笔分摊到商品/金额，合计不超过应收；失败分摊可重试但不影响已成功部分","需星驿/微信生产商户参数、KYC、真实小额支付/退款及渠道流水号"
"PAY-008","P0","阻塞","外部依赖","三沐、李艳、护古、陈方宇","微信+POS+现金混合支付","各渠道独立证据，桌账剩余实时准确；所有渠道合计为应收且无重复","需星驿/微信生产商户参数、KYC、真实小额支付/退款及渠道流水号"
"PAY-009","P0","阻塞","外部依赖","三沐、李艳、护古、陈方宇","客户端超时、渠道结果未知","冻结再次支付，使用原单查单；员工不得口头改成功；最终结果和请求ID可追溯","需星驿/微信生产商户参数、KYC、真实小额支付/退款及渠道流水号"
"PAY-010","P0","阻塞","外部依赖","三沐、李艳、护古、陈方宇","同一支付成功回调两次或乱序回调","只入账一次；成功后的失败/处理中回调不能回滚终态；保存验签与幂等记录","需星驿/微信生产商户参数、KYC、真实小额支付/退款及渠道流水号"
"PAY-011","P0","阻塞","外部依赖","三沐、李艳、护古、陈方宇","回调金额、币种、商户、订单号不匹配","拒绝应用到桌账并告警；不能显示支付成功；原始摘要进入安全审计","需星驿/微信生产商户参数、KYC、真实小额支付/退款及渠道流水号"
"PAY-012","P1","阻塞","外部依赖","三沐、李艳、护古、陈方宇","客人少付、超付或付款到错误订单","系统阻止或建立明确差异，不自动挪款；由三沐和李艳核对渠道后处理","需星驿/微信生产商户参数、KYC、真实小额支付/退款及渠道流水号"
"PAY-013","P0","未执行","直接自动化证据","三沐、李艳、护古、陈方宇","服务员赠送权限内啤酒/鸡尾酒","验证模板、SKU、单次/每日额度和有效期；订单显示赠送价值、成本和批准人","commerce-kds-api及PostgresPricingAuthority测试：赠送原因必填、客户端不可伪造授权源、岗位单笔额度、重复员工授权与会员权益隔离回归"
"PAY-014","P0","未执行","历史通过/待本版逐条追溯","三沐、李艳、护古、陈方宇","服务员申请超额度赠送或折扣","进入上级审批，未批准不生效；不同岗位额度由后台配置且保留版本","支付领域、退款、双人审批、幂等、拆单和服务商适配器工程回归"
"PAY-015","P0","未执行","历史通过/待本版逐条追溯","三沐、李艳、护古、陈方宇","运营负责人超5000元或重大争议授权","系统升级陈方宇，不能拆成多笔绕限额；审计能识别同桌/同理由累计值","支付领域、退款、双人审批、幂等、拆单和服务商适配器工程回归"
"PAY-016","P0","阻塞","外部依赖","三沐、李艳、护古、陈方宇","商品级部分退款","关联原orderItem和payment；申请、审批不同人；金额不超过可退余额；渠道与桌账同步一次","需星驿/微信生产商户参数、KYC、真实小额支付/退款及渠道流水号"
"PAY-017","P0","阻塞","外部依赖","三沐、李艳、护古、陈方宇","全单退款、重复退款和退款失败重试","原支付可追溯；失败不显示已退；重试关联同一refundId；重复回调不二次退款","需星驿/微信生产商户参数、KYC、真实小额支付/退款及渠道流水号"
"PAY-018","P0","阻塞","外部依赖","三沐、李艳、护古、陈方宇","POS支付部分退款","生成退款待办和物理凭证；系统不能虚构POS退款成功，日对账前保持待核验","需星驿/微信生产商户参数、KYC、真实小额支付/退款及渠道流水号"
"PAY-019","P1","未执行","历史通过/待本版逐条追溯","三沐、李艳、护古、陈方宇","客人已买单但商品取消/投诉补偿","新退款/权益关联原订单，不能直接改已成功支付；客户可见真实处理状态","支付领域、退款、双人审批、幂等、拆单和服务商适配器工程回归"
"PAY-020","P0","阻塞","外部依赖","三沐、李艳、护古、陈方宇","闭桌与日结","只有余额0且无支付未知/退款无主时可闭桌；系统、渠道、POS、现金差异逐笔有责任人和期限","需星驿/微信生产商户参数、KYC、真实小额支付/退款及渠道流水号"
"MBR-001","P1","未执行","历史通过/待本版逐条追溯","乌鸦、护古、李艳","未注册客人首次扫固定桌码","建立匿名客户ID，记录合法的服务、情绪、菜单和消费行为，不强迫注册","权益发放、额度审批、匿名身份、同意状态、通知跳过和Outbox重试回归"
"MBR-002","P0","未执行","历史通过/待本版逐条追溯","乌鸦、护古、李艳","同桌两位匿名客操作","两个客户ID可区分，桌账共享但个人情绪、服务偏好和会员权益不能串人","权益发放、额度审批、匿名身份、同意状态、通知跳过和Outbox重试回归"
"MBR-003","P1","未执行","历史通过/待本版逐条追溯","乌鸦、护古、李艳","匿名客户后来授权微信/手机号","在可验证身份下合并，不重复会员；保留原匿名历史和合并审计","权益发放、额度审批、匿名身份、同意状态、通知跳过和Outbox重试回归"
"MBR-004","P0","未执行","历史通过/待本版逐条追溯","乌鸦、护古、李艳","错误合并两个客户后申请拆分","仅授权管理员按证据修复；原始ID、合并和拆分关系不可删除，避免权益/消费串联","权益发放、额度审批、匿名身份、同意状态、通知跳过和Outbox重试回归"
"MBR-005","P1","未执行","历史通过/待本版逐条追溯","乌鸦、护古、李艳","记录常点商品、服务频次、情绪和投诉偏好","形成可解释摘要；员工只看到当次服务有帮助的信息，不展示敏感画像或贬义标签","权益发放、额度审批、匿名身份、同意状态、通知跳过和Outbox重试回归"
"MBR-006","P1","未执行","直接自动化证据","乌鸦、护古、李艳","服务员发放权限内小权益","直接/审批后到账规则按配置执行；客户会员页和公众号/服务号通知状态联动","benefit-domain/redemption测试：权限内发放、越权审批、客户权益可见及通知状态同步"
"MBR-007","P0","未执行","历史通过/待本版逐条追溯","乌鸦、护古、李艳","同一权益重复发放、锁定或核销","每一步幂等；只核销一次；取消订单后释放锁定但保留历史","权益发放、额度审批、匿名身份、同意状态、通知跳过和Outbox重试回归"
"MBR-008","P1","未执行","历史通过/待本版逐条追溯","乌鸦、护古、李艳","活动批量召回老客户","先预览人群、权益、成本和排除名单；护古批准后执行；每人结果可追溯","权益发放、额度审批、匿名身份、同意状态、通知跳过和Outbox重试回归"
"MBR-009","P1","未执行","直接自动化证据","乌鸦、护古、李艳","客户未同意营销通知","权益可按合法规则到账但通知跳过；不得绕过同意使用其他通道骚扰","benefit-domain测试：未同意营销的会员权益到账但通知状态为skipped"
"MBR-011","P1","未执行","历史通过/待本版逐条追溯","乌鸦、护古、李艳","权益过期、库存不足或门店不适用","客户端显示明确状态；不能下单核销；经理可按规则替换但需新审批","权益发放、额度审批、匿名身份、同意状态、通知跳过和Outbox重试回归"
"MBR-012","P0","未执行","历史通过/待本版逐条追溯","乌鸦、护古、李艳","客户请求查询/更正/停止个性化","按隐私规则处理；停止后不再生成营销画像，订单支付等法定审计按期限保留","权益发放、额度审批、匿名身份、同意状态、通知跳过和Outbox重试回归"
"SNG-001","P1","未执行","历史通过/待本版逐条追溯","付淳羽、阿金、李艳","12:00至20:30下午茶时段","客户页显示暂无演出/今晚开始时间，不展示虚假的当前歌手；咖啡餐饮功能正常","歌手资料、当日排班、倒计时、点歌状态机及可见性回归"
"SNG-002","P1","未执行","历史通过/待本版逐条追溯","付淳羽、阿金、李艳","20:30按排班开始演出","客户页显示当前歌手、演出剩余时间和下一位歌手/开场倒计时，均使用北京时间","歌手资料、当日排班、倒计时、点歌状态机及可见性回归"
"SNG-003","P1","未执行","历史通过/待本版逐条追溯","付淳羽、阿金、李艳","点击当前歌手资料","展示后台配置的照片、简介、风格和当天可点歌单；信息排版紧凑，音乐符号不抢占版面","歌手资料、当日排班、倒计时、点歌状态机及可见性回归"
"SNG-004","P1","未执行","历史通过/待本版逐条追溯","付淳羽、阿金、李艳","点击下一位歌手资料并预约点歌","展示其资料与当天歌单；请求标记为预约，等歌手到场后由服务员确认","歌手资料、当日排班、倒计时、点歌状态机及可见性回归"
"SNG-005","P1","未执行","历史通过/待本版逐条追溯","付淳羽、阿金、李艳","当前歌手剩余时间很少仍提交点歌","允许提交协商请求；明确可能延长/改场/拒绝，不在线收款","歌手资料、当日排班、倒计时、点歌状态机及可见性回归"
"SNG-006","P1","未执行","历史通过/待本版逐条追溯","付淳羽、阿金、李艳","自定义歌名不在歌单","可填写歌名、备注和歌手；进入服务员/舞台确认，不承诺一定演唱","歌手资料、当日排班、倒计时、点歌状态机及可见性回归"
"SNG-007","P0","未执行","历史通过/待本版逐条追溯","付淳羽、阿金、李艳","点歌提交后直接要求线上支付","系统不得收款；歌手/现场确认可唱后，服务员到桌现场收费并关联请求","歌手资料、当日排班、倒计时、点歌状态机及可见性回归"
"SNG-008","P1","未执行","代码支持/待现场验证","付淳羽、阿金、李艳","歌手接受、客人现场付款、排队演唱","状态按待确认、可演唱、待收费、已收费、排队、演唱中、完成流转；各责任人留痕","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"SNG-009","P0","未执行","代码支持/待现场验证","付淳羽、阿金、李艳","歌手拒绝、客户取消或已收款后无法演唱","未收款直接结束；已收款进入退款责任链，不能显示完成或口头抵消","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"SNG-010","P1","未执行","历史通过/待本版逐条追溯","付淳羽、阿金、李艳","歌手迟到、缺席或临时换顺序","付淳羽更新排班版本；客户倒计时、下一位和点歌可用性实时联动；旧请求重新确认","歌手资料、当日排班、倒计时、点歌状态机及可见性回归"
"SNG-011","P1","未执行","历史通过/待本版逐条追溯","付淳羽、阿金、李艳","演出延长跨越下一场","经理确认冲突处理；下一位倒计时与提示更新，不能出现两位同时“演出中”","歌手资料、当日排班、倒计时、点歌状态机及可见性回归"
"SNG-012","P1","未执行","能力缺口","付淳羽、阿金、李艳","阿金报告音响/灯光故障","点歌与演出进入延迟/暂停；客户看到友好说明，任务保留，不伪造已演唱","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"SNG-013","P1","未执行","历史通过/待本版逐条追溯","付淳羽、阿金、李艳","客户只应看到当天排班歌手","非当日、停用、未确认歌手不出现在点歌选择；后台仍保留资料和历史","歌手资料、当日排班、倒计时、点歌状态机及可见性回归"
"SNG-014","P1","未执行","历史通过/待本版逐条追溯","付淳羽、阿金、李艳","排班跨零点","演出归属同一营业日；倒计时、歌手顺序和点歌请求不因自然日变化重置","歌手资料、当日排班、倒计时、点歌状态机及可见性回归"
"INV-001","P1","未执行","历史通过/待本版逐条追溯","冷言志、申良良、李艳、护古","商品BOM和出品完成扣减库存","按配置消耗原料一次；订单取消、重做和退款按规则生成独立库存移动","收货、成本快照、盘点、存酒取用/转赠/作废、双人审批及幂等回归"
"INV-002","P1","未执行","历史通过/待本版逐条追溯","冷言志、申良良、李艳、护古","库存预警阈值、损耗水平和停售规则调整","后台可配置且有版本/生效时间；旧订单使用当时快照，不需要改代码","收货、成本快照、盘点、存酒取用/转赠/作废、双人审批及幂等回归"
"INV-003","P1","未执行","历史通过/待本版逐条追溯","冷言志、申良良、李艳、护古","售罄发生在下单前/下单后","下单前阻止；下单后走改品/取消/退款，KDS和客户状态一致","收货、成本快照、盘点、存酒取用/转赠/作废、双人审批及幂等回归"
"INV-004","P0","未执行","历史通过/待本版逐条追溯","冷言志、申良良、李艳、护古","两台设备同时卖最后一份","仅一单成功预占，另一单明确售罄；不出现负库存或两次扣款","收货、成本快照、盘点、存酒取用/转赠/作废、双人审批及幂等回归"
"INV-005","P1","未执行","直接自动化证据","冷言志、申良良、李艳、护古","收货入库、供应商和成本变化","数量、批次、成本、操作者和凭证留痕；不追改已售商品成本快照","inventory-api及product-cost-policy测试：收货批次、单位、成本和历史成本快照不可追改"
"INV-006","P1","未执行","直接自动化证据","冷言志、申良良、李艳、护古","闭店盘点出现盘盈/盘亏","冷言志/申良良提交，李艳或护古审批；重大差异升级陈方宇，不能直接抹平","inventory-api/domain测试：盘盈盘亏进入待确认，额度与独立审批强校验"
"INV-007","P1","未执行","直接自动化证据","冷言志、申良良、李艳、护古","客人结账前登记存酒","绑定原订单、客户、数量、封签、位置和到期日；登记人与复核人不同","inventory-api/domain测试：存酒绑定客户、桌次、封签、位置、数量和到期时间"
"INV-008","P0","未执行","直接自动化证据","冷言志、申良良、李艳、护古","再次到店部分取用存酒","验证身份，取用不超过余量；前后数量、桌次和双人复核一致且幂等","inventory-domain测试：存酒部分取用不超余量，幂等重试不重复扣减"
"INV-009","P0","未执行","直接自动化证据","冷言志、申良良、李艳、护古","存酒转赠","原客确认、接收人验证、双人复核；新旧批次链总量不变，不能同人发起自批","inventory-api、inventory-domain及dual-approval测试：转赠总量守恒且发起人不能自批"
"INV-010","P0","未执行","直接自动化证据","冷言志、申良良、李艳、护古","存酒破损/过期作废","保留证据、原因、审批和损耗；不删除原批次，不允许无证据作废","inventory-api、inventory-domain及dual-approval测试：作废/过期保留原批次、原因和独立审批"
"INV-011","P1","未执行","历史通过/待本版逐条追溯","冷言志、申良良、李艳、护古","系统库存与实物不一致时继续售卖","冻结相关SKU/批次并建立差异任务；经理明确恢复条件，不能伪造盘点数","收货、成本快照、盘点、存酒取用/转赠/作废、双人审批及幂等回归"
"INV-012","P1","未执行","历史通过/待本版逐条追溯","冷言志、申良良、李艳、护古","退款商品是否回库","根据实物状态和配置决定回库/损耗；渠道退款、桌账与库存各自留独立事件","收货、成本快照、盘点、存酒取用/转赠/作废、双人审批及幂等回归"
"INC-001","P0","未执行","能力缺口","李艳、护古、陈方宇","全店停电或照明突然中断","阿金/李艳启动应急照明和疏散判断，三沐停止收款，系统记录中断时间；恢复后逐桌核账，不重复下单/收费","必须由门店按应急预案现场演练，上传脱敏照片、时间线、负责人和复盘记录"
"INC-002","P0","未执行","能力缺口","李艳、护古、陈方宇","火警、烟雾或强制疏散","立即停止经营并按现场预案疏散，系统批量标记营业暂停但不强关桌账；人员清点、报警和恢复决定留痕","必须由门店按应急预案现场演练，上传脱敏照片、时间线、负责人和复盘记录"
"INC-003","P0","未执行","能力缺口","李艳、护古、陈方宇","客人晕倒、受伤或需要急救","现场先急救/呼叫120，李艳指挥、护古获报；只记录必要事实、处置时间和见证人，不让AI替代医疗判断","必须由门店按应急预案现场演练，上传脱敏照片、时间线、负责人和复盘记录"
"INC-004","P0","未执行","能力缺口","李艳、护古、陈方宇","客人发生严重过敏反应","停止相关出品、呼叫急救、封存原商品和BOM版本；订单、档口、服务员和过敏备注完整可追溯","必须由门店按应急预案现场演练，上传脱敏照片、时间线、负责人和复盘记录"
"INC-005","P1","未执行","能力缺口","李艳、护古、陈方宇","轻微割伤、烫伤或员工工伤","立即停止涉事岗位、处理伤情和污染物，指定替补；事故、班次、设备/商品和后续复盘留痕","必须由门店按应急预案现场演练，上传脱敏照片、时间线、负责人和复盘记录"
"INC-006","P1","未执行","能力缺口","李艳、护古、陈方宇","客人醉酒失控、打架或威胁他人","停止售酒，李艳/护古接管，必要时报警；服务员不单独对抗，系统保留事件时间线和相关桌次","必须由门店按应急预案现场演练，上传脱敏照片、时间线、负责人和复盘记录"
"INC-007","P1","未执行","能力缺口","李艳、护古、陈方宇","骚扰、偷拍或客人要求换座避开他人","优先保护被影响客人并安排换桌/安保；限制事件详情可见范围，不把敏感描述公开给普通员工","必须由门店按应急预案现场演练，上传脱敏照片、时间线、负责人和复盘记录"
"INC-008","P1","未执行","部分实现","李艳、护古、陈方宇","客人拒付、逃单或账单争议","冻结桌次关闭，保留订单、送达、支付和沟通证据；由李艳处理，员工不得私自代付或删单","必须由门店按应急预案现场演练，上传脱敏照片、时间线、负责人和复盘记录"
"INC-009","P1","未执行","部分实现","李艳、护古、陈方宇","客人称重复扣款或盗刷","三沐先查原支付和渠道，不再次退款/收费；建立资金争议单，结果未知时升级李艳和护古","必须由门店按应急预案现场演练，上传脱敏照片、时间线、负责人和复盘记录"
"INC-010","P1","未执行","能力缺口","李艳、护古、陈方宇","现金疑似假币或找零争议","三沐暂停该笔现金确认并由李艳复核；记录金额和处置，不在系统中伪报其他支付渠道","必须由门店按应急预案现场演练，上传脱敏照片、时间线、负责人和复盘记录"
"INC-011","P1","未执行","能力缺口","李艳、护古、陈方宇","客人遗失手机、包或其他物品","建立失物记录、封存位置、拾取人与交接人；领取时核验，避免在公开列表展示物品敏感信息","必须由门店按应急预案现场演练，上传脱敏照片、时间线、负责人和复盘记录"
"INC-012","P1","未执行","能力缺口","李艳、护古、陈方宇","玻璃破碎、酒水泼洒或通道湿滑","立即暂停周边桌/通道、清洁并设置警示，服务任务升级；损耗、受影响订单和恢复时间留痕","必须由门店按应急预案现场演练，上传脱敏照片、时间线、负责人和复盘记录"
"INC-013","P1","未执行","部分实现","李艳、护古、陈方宇","卫生、异物、食品变质或温控问题","停售同批商品、封存批次并追溯已售桌；处理投诉、退款/重做和库存报损，不能只补一份后继续售卖","必须由门店按应急预案现场演练，上传脱敏照片、时间线、负责人和复盘记录"
"INC-014","P1","未执行","能力缺口","李艳、护古、陈方宇","厕所、空调、给排水或电梯故障影响经营","发布区域/设施状态，调整桌台和服务话术；严重时限制接客，故障、责任人和恢复确认可追溯","必须由门店按应急预案现场演练，上传脱敏照片、时间线、负责人和复盘记录"
"INC-015","P1","阻塞","外部依赖","李艳、护古、陈方宇","支付服务商、微信或物理POS同时不可用","明确可用备用渠道和风险上限；禁止凭口头截图确认到账，所有待核对收款进入差异清单","需真实微信、星驿和物理POS同时不可用的门店降级演练记录"
"INC-016","P1","未执行","部分实现","李艳、护古、陈方宇","供应商未送货或关键原料临时短缺","冷言志/申良良盘点，李艳批量停售/限量并配置替代品；已下单客户逐桌处理，不允许负库存硬出单","必须由门店按应急预案现场演练，上传脱敏照片、时间线、负责人和复盘记录"
"INC-017","P1","未执行","部分实现","李艳、护古、陈方宇","暴雨、台风、交通中断导致预约或演出大面积取消","批量变更必须逐条保留订金、退款和通知结果；歌手排班、候补和人员班次同步调整","必须由门店按应急预案现场演练，上传脱敏照片、时间线、负责人和复盘记录"
"INC-018","P0","未执行","能力缺口","李艳、护古、陈方宇","公安、消防、市场监管或支付机构现场检查","李艳/护古统一接待，乌鸦提供只读审计和合规资料；不得临时删改记录或暴露无关客户数据","必须由门店按应急预案现场演练，上传脱敏照片、时间线、负责人和复盘记录"
"INC-019","P0","未执行","部分实现","李艳、护古、陈方宇","摄像头、人脸或视觉分析误识别客户","不以识别结果直接拒客、扣费或公开身份；员工现场核实，记录误判并按同意/隐私规则停用相关数据","必须由门店按应急预案现场演练，上传脱敏照片、时间线、负责人和复盘记录"
"INC-020","P1","未执行","部分实现","李艳、护古、陈方宇","客人表示将去公开平台投诉","先解决事实和安全问题，建立投诉闭环并告知真实进度；不得以赠品换取删评或阻止合法评价","必须由门店按应急预案现场演练，上传脱敏照片、时间线、负责人和复盘记录"
"SEC-001","P1","未执行","历史通过/待本版逐条追溯","乌鸦、李艳","PC、iPad/安卓平板、手机横竖屏操作","关键任务一屏可见，按钮有边界和点击反馈，文字不重叠；常用动作不依赖多次滚动","角色/API越权、签名固定桌码、离线隔离、通知降级、配置回滚及响应式页面回归"
"SEC-002","P1","未执行","历史通过/待本版逐条追溯","乌鸦、李艳","每个真实岗位登录","只显示职责入口；直接调用未授权API也拒绝；角色、门店和数据范围一致","角色/API越权、签名固定桌码、离线隔离、通知降级、配置回滚及响应式页面回归"
"SEC-003","P0","未执行","历史通过/待本版逐条追溯","乌鸦、李艳","服务员尝试管理员、退款审批、库存审批接口","服务端403并记安全审计；不能只靠隐藏按钮","角色/API越权、签名固定桌码、离线隔离、通知降级、配置回滚及响应式页面回归"
"SEC-004","P0","未执行","历史通过/待本版逐条追溯","乌鸦、李艳","乌鸦尝试收款、开台或审批本人活动","按角色边界拒绝；身份管理和经营资金责任不混为一体","角色/API越权、签名固定桌码、离线隔离、通知降级、配置回滚及响应式页面回归"
"SEC-005","P0","未执行","历史通过/待本版逐条追溯","乌鸦、李艳","护古尝试管理员工身份凭证","拒绝`identity.manage`；经营配置权限仍正常，形成拒绝审计","角色/API越权、签名固定桌码、离线隔离、通知降级、配置回滚及响应式页面回归"
"SEC-006","P0","未执行","历史通过/待本版逐条追溯","乌鸦、李艳","篡改桌号、客户ID、订单ID或token","签名/归属校验拒绝，不能跨桌读取或写入；记录请求ID但不泄露敏感token","角色/API越权、签名固定桌码、离线隔离、通知降级、配置回滚及响应式页面回归"
"SEC-007","P1","未执行","直接自动化证据","乌鸦、李艳","固定二维码被拍照带离门店","无有效桌次时只显示安全入口；不能远程向别桌下单/呼叫；按配置进行现场/会话校验","table-access及guest-api测试：固定桌码只交换绑定桌台当前桌次，无有效桌次或伪造桌号均拒绝"
"SEC-008","P1","未执行","历史通过/待本版逐条追溯","乌鸦、李艳","会话到期、桌次翻台或员工退出","写操作明确拒绝并引导重新扫码/登录；本地缓存不能绕过服务端状态","角色/API越权、签名固定桌码、离线隔离、通知降级、配置回滚及响应式页面回归"
"SEC-009","P1","未执行","历史通过/待本版逐条追溯","乌鸦、李艳","服务平板断网","可缓存允许的非资金服务动作并标离线；订单、支付、退款、库存等资金/关键写入必须阻止","角色/API越权、签名固定桌码、离线隔离、通知降级、配置回滚及响应式页面回归"
"SEC-010","P1","未执行","历史通过/待本版逐条追溯","乌鸦、李艳","网络恢复后离线队列重放","使用原幂等键，只同步一次；冲突提示人工处理，不能静默覆盖新状态","角色/API越权、签名固定桌码、离线隔离、通知降级、配置回滚及响应式页面回归"
"SEC-011","P0","未执行","历史通过/待本版逐条追溯","乌鸦、李艳","两设备同时更新桌台、任务或支付","使用版本/状态机控制；一个成功、另一个得到冲突和最新值，不出现双终态","角色/API越权、签名固定桌码、离线隔离、通知降级、配置回滚及响应式页面回归"
"SEC-012","P1","未执行","直接自动化证据","乌鸦、李艳","通知通道、耳机或第三方服务宕机","核心任务仍保留，自动切换平板/PC/人工清单；失败、重试和接管可监控","notification-runtime/dispatch测试：通道失败时核心任务保留在员工/管理端队列并进入重试和人工接管"
"SEC-013","P0","未执行","历史通过/待本版逐条追溯","乌鸦、李艳","日志、导出和截图检查","PIN、AppSecret、支付密钥、付款码、完整手机号和token不得出现；敏感操作有actorId","角色/API越权、签名固定桌码、离线隔离、通知降级、配置回滚及响应式页面回归"
"SEC-014","P1","阻塞","外部依赖","乌鸦、李艳","备份恢复到隔离环境","数据、审计、配置版本和业务关联可恢复；恢复过程不连接真实支付或发真实通知","旧Cloud SQL恢复证据不适用于当前阿里云RDS；需从阿里云备份恢复到隔离实例并核对审计、版本和关联完整性"
"SEC-015","P0","未执行","历史通过/待本版逐条追溯","乌鸦、李艳","配置发布错误后回滚","回滚生成新版本而非覆盖历史；正在处理的订单/授权按明确快照规则继续，不产生权限漂移","角色/API越权、签名固定桌码、离线隔离、通知降级、配置回滚及响应式页面回归"
"PKC-001","P0","未执行","历史通过/待本版逐条追溯","乌鸦、李艳、护古","20:30至02:00累计300人、分批到店","预约、候补、开台和客流事件无丢失；无跨桌/重复桌次；关键接口无5xx尖峰","300人/75桌/613请求压力回归、闭店阻断和PostgreSQL并发一致性回归"
"PKC-002","P1","未执行","历史通过/待本版逐条追溯","乌鸦、李艳、护古","10分钟内多桌集中扫码、点单和加单","页面可用，订单幂等，KDS按档口承压；延迟达到阈值时给出真实排队状态","300人/75桌/613请求压力回归、闭店阻断和PostgreSQL并发一致性回归"
"PKC-003","P1","未执行","历史通过/待本版逐条追溯","乌鸦、李艳、护古","1分钟内多桌各5次服务请求","限流按客户/桌次合理生效，不全店互相影响；主责、候补、经理升级链保持唯一","300人/75桌/613请求压力回归、闭店阻断和PostgreSQL并发一致性回归"
"PKC-004","P0","阻塞","外部依赖","乌鸦、李艳、护古","支付高峰同时出现回调、查单、POS报送和退款","账本不超付/不重复；数据库连接和队列稳定；支付未知有负责人，不能靠重试制造重复","需星驿/微信生产商户参数、真实小额流水及高峰回调/查单/退款记录"
"PKC-005","P1","未执行","历史通过/待本版逐条追溯","乌鸦、李艳、护古","吧台/后厨积压与服务员取送不足同时发生","系统展示真实队列和SLA，智能分配候补，停售/限量可配置；无“已完成未送达”假状态","300人/75桌/613请求压力回归、闭店阻断和PostgreSQL并发一致性回归"
"PKC-006","P1","未执行","历史通过/待本版逐条追溯","乌鸦、李艳、护古","多个投诉、生日、点歌和换桌同时发生","经理按紧急度调度；任务对象互相关联但不混桌；高优投诉不会被普通任务淹没","300人/75桌/613请求压力回归、闭店阻断和PostgreSQL并发一致性回归"
"PKC-007","P0","未执行","代码支持/待现场验证","乌鸦、李艳、护古","主数据库/应用短时中断","阻止资金盲写，启用纸单/POS应急编号；恢复后按原业务ID补录/对账，不重复订单支付","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"PKC-008","P1","未执行","直接自动化证据","乌鸦、李艳、护古","02:00闭店前仍有开放桌、支付未知、退款失败或投诉","日结阻断并生成交班清单，责任人/期限明确；不能强制清零或改终态","business-day-api测试：开放桌、支付未知、退款失败、投诉和进行中点歌均阻止闭店并返回交接项"
"PKC-009","P1","未执行","代码支持/待现场验证","乌鸦、李艳、护古","跨零点日结、库存盘点、备份","营业日一致；支付、退款、POS、现金、权益、存酒和库存差异逐笔核对；备份校验可验证","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"PKC-010","P0","未执行","云端数据库待复测","乌鸦、李艳、护古","灾难恢复演练及发布回退","在隔离环境恢复最近备份、验证关键对象与审计；版本回退不回滚已发生资金和经营事实","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"TME-007","P1","阻塞","专项门禁","质量负责人/对应业务负责人","阿里云ECS检查chrony/NTP、时区、系统时钟漂移和容器UTC","NTP同步正常，漂移小于1秒；容器可使用UTC且业务结果仍是门店时区","见 docs/tc-time-capacity-performance-1.0.0-rc.68.md"
